suggestion_id,source_file,suggestion_summary,target_doc_candidate,target_section_candidate,priority,status
SX001,prompts/runs/20260222-011351-prompt-pack/responses/01_spec_stack_gap_finder.md;prompts/runs/20260222-011351-prompt-pack/responses/13_round_milestone_map.md,Add explicit stabilization and stream/degradation terminology into charter glossary,CHARTER.md,2.1 and 5,medium,reviewed
SX002,prompts/runs/20260222-011351-prompt-pack/responses/18_triad_synthesis_stream_external_updates.md,Clarify that run artifacts are non-authoritative until synthesized,OPERATIONS.md and synthesis/README.md,8.2 and completion criteria,high,reviewed
SX003,prompts/runs/20260222-011351-prompt-pack/responses/01_spec_stack_gap_finder.md;prompts/runs/20260222-011351-prompt-pack/responses/02_lean_module_plan_theorem_backlog.md,Re-open pass01 pack and taxonomy edits for another normative pass,OPERATIONS.md and ARCHITECTURE_AND_REQUIREMENTS.md,4.x and 2.x,low,reviewed
SX004,research/runs/20260222-082019-run1-master-landscape/outputs/deep-research-report.md,Make dependency discovery and calc-order traces explicitly separate artifacts,ARCHITECTURE_AND_REQUIREMENTS.md,3.4,high,reviewed
SX005,research/runs/20260222-082019-run1-master-landscape/outputs/deep-research-report.md,Specify external update operation envelope for stream and RTD updates,ARCHITECTURE_AND_REQUIREMENTS.md,3.5,high,reviewed
SX006,research/runs/20260222-082019-run1-master-landscape/outputs/deep-research-report.md,Add new doctrine for unknown OOXML and macro opaque preservation,ARCHITECTURE_AND_REQUIREMENTS.md,3.7 and 3.8,medium,reviewed
SX007,research/runs/20260222-082019-run2-concurrency-mvcc/outputs/deep-research-report.md;research/runs/20260222-083307-run2-concurrency-mvcc-internal/outputs/response.md,Strengthen epoch invariants for stream sequence monotonicity and pinned-epoch GC,ARCHITECTURE_AND_REQUIREMENTS.md,3.3.1,high,reviewed
SX008,research/runs/20260222-083307-run2-concurrency-mvcc-internal/outputs/combined_findings.md,Add tiered TLC and concurrent pack requirements,OPERATIONS.md,4.3,medium,reviewed
SX009,research/runs/20260222-084640-run3-asupersync-deep-dive-internal/outputs/response.md,Promote coupling discipline across semantics proofs tests and gates,CHARTER.md and OPERATIONS.md,2.1 and 3.2,high,reviewed
SX010,research/runs/20260222-084640-run3-asupersync-deep-dive-internal/outputs/response.md,Capture Asupersync adaptation matrix in retained knowledge base,notes/RESEARCH_NOTES.md,5.3,high,reviewed
SX011,research/runs/20260222-123425-run4-janestreet-oxcaml-incremental-internal/outputs/response.md,Add incremental invariant model (`necessary` `stale` `height` `scope`) to architecture,ARCHITECTURE_AND_REQUIREMENTS.md,3.4.1,high,reviewed
SX012,research/runs/20260222-123425-run4-janestreet-oxcaml-incremental-internal/outputs/response.md,Require analyzable graph and stabilization trace exports,ARCHITECTURE_AND_REQUIREMENTS.md,3.4.1,medium,reviewed
SX013,research/runs/20260222-123425-run4-janestreet-oxcaml-incremental-internal/outputs/response.md,Decide immediate OxCaml adoption posture,notes/RESEARCH_NOTES.md,5.4 backlog,medium,reviewed
SX014,research/runs/*/outputs/*.md,Mark topic lifecycle status to synthesized and keep pending topic backlog explicit,research/topic_registry.csv,topic rows,high,reviewed
SX015,synthesis/README.md;research/README.md,Standardize synthesis lifecycle states captured synthesized archived,OPERATIONS.md and workspace READMEs,8.5 and lifecycle sections,high,reviewed
SX016,prompts/runs/20260222-011351-prompt-pack/logs/manifest.csv;research/runs/*/logs/manifest.csv,Mark consumed runs as synthesized with synthesis run reference,run manifests,logs/manifest.csv,high,reviewed
SX017,README.md,Expose retained research knowledge pointer at top level,README.md,top-level orientation,low,reviewed
SX018,notes/RUNNING_PROJECT_NOTES.md,Update running notes statuses for adopted/investigated items,notes/RUNNING_PROJECT_NOTES.md,2026-02-22 entries,low,reviewed
