"suggestion_id","source_file","target_doc","target_section","action","rationale","change_ref","owner","status"
"FMC001","notes/archive/formal-model/FORMAL_MODELS_IDEAS.md","CORE_ENGINE_FORMAL_MODEL.md","4","adapt","Consolidated core model while keeping architecture-consistent baseline and removing speculative implementation detail from stable sections.","CORE_ENGINE_FORMAL_MODEL.md:43","@govert/Codex","verified"
"FMC002","notes/archive/formal-model/FORMAL_MODEL_REMAINING_NOTES.md","CORE_ENGINE_FORMAL_MODEL.md","5","accept","Deferred/open decisions are centralized into one backlog section to focus ongoing formalization work.","CORE_ENGINE_FORMAL_MODEL.md:168","@govert/Codex","verified"
"FMC003","notes/archive/formal-model/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","CORE_ENGINE_FORMAL_MODEL.md","6","accept","Status-derived next actions are captured as an integrated formalization work plan.","CORE_ENGINE_FORMAL_MODEL.md:198","@govert/Codex","verified"
"FMC004","notes/archive/formal-model/FORMAL_MODELS_IDEAS.md","CORE_ENGINE_FORMAL_MODEL.md","5.3 and 7","adapt","Exploratory representation ideas retained but explicitly labeled non-normative/uncertain.","CORE_ENGINE_FORMAL_MODEL.md:186","@govert/Codex","verified"
"FMC005","ARCHITECTURE_AND_REQUIREMENTS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.11-3.17","accept","Detailed formal-model content has been extracted to reduce duplication and create one active formal-model home.","ARCHITECTURE_AND_REQUIREMENTS.md:202","@govert/Codex","verified"
"FMC006","ARCHITECTURE_AND_REQUIREMENTS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.11-3.17","accept","Architecture now keeps concise summary-level commitments with links to detailed formal semantics.","ARCHITECTURE_AND_REQUIREMENTS.md:203","@govert/Codex","verified"
"FMC007","README.md","README.md","orientation","accept","Top-level navigation now points directly to the consolidated formal-model doc.","README.md:7","@govert/Codex","verified"
"FMC008","OPERATIONS.md","OPERATIONS.md","2.1 Green responsibilities","accept","Green ownership is explicit for the detailed formal-model document.","OPERATIONS.md:11","@govert/Codex","verified"
"FMC009","notes/FORMAL_MODELS_IDEAS.md","notes/FORMAL_*.md","full doc","accept","Superseded formal notes replaced with archive redirects to avoid conflicting active sources while preserving path stability.","notes/FORMAL_MODELS_IDEAS.md:1","@govert/Codex","verified"
"FMC010","notes/archive/formal-model/*","notes/archive/formal-model/*","full doc","accept","Full historical content retained in archive directory for auditability and source traceability.","notes/archive/formal-model/FORMAL_MODELS_IDEAS.md:1","@govert/Codex","verified"
"FMC011","notes/archive/formal-model/FORMAL_MODELS_IDEAS.md","CORE_ENGINE_FORMAL_MODEL.md","2 and 7","accept","Added explicit confidence labels and promotion discipline for uncertain/vague material.","CORE_ENGINE_FORMAL_MODEL.md:14","@govert/Codex","verified"
"FMC012","notes/archive/formal-model/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","CORE_ENGINE_FORMAL_MODEL.md","6","accept","OCaml/Lean kickoff and pack implications retained in one active planning section.","CORE_ENGINE_FORMAL_MODEL.md:198","@govert/Codex","verified"
