"suggestion_id","source_file","suggestion_summary","target_doc_candidate","target_section_candidate","priority","status"
"CMS001","inputs/prompt.txt","Treat CORE_ENGINE_FORMAL_MODEL as evolving story/funnel doc, not final design/spec","CORE_ENGINE_FORMAL_MODEL.md","1","high","reviewed"
"CMS002","ARCHITECTURE_AND_REQUIREMENTS.md 3.1","Move protocol-surface formal detail into core model doc and keep architecture summary","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.1;3.1","high","reviewed"
"CMS003","ARCHITECTURE_AND_REQUIREMENTS.md 3.2","Move profile/feature-gate core semantics into core model doc and keep architecture summary","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.2;3.2","high","reviewed"
"CMS004","ARCHITECTURE_AND_REQUIREMENTS.md 3.3","Move epoch and calc-delta detail into core model doc and keep architecture summary","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.3;3.3","high","reviewed"
"CMS005","ARCHITECTURE_AND_REQUIREMENTS.md 3.4","Move calc pipeline and dependency/incremental detail into core model doc and keep architecture summary","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.4;3.4","high","reviewed"
"CMS006","ARCHITECTURE_AND_REQUIREMENTS.md 3.6.1","Move controls/charts core-entity detail into core model doc and keep architecture summary","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.6;3.6.1","high","reviewed"
"CMS007","ARCHITECTURE_AND_REQUIREMENTS.md 3.11-3.17","Keep formal-state and transition semantics in one active core-model doc with minimal architecture duplication","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","6;3.11-3.17","high","reviewed"
"CMS008","notes/BRAINSTORM_NOTES.md","Include brainstorm core ideas/open questions into tagged funnel with uncertainty labels","CORE_ENGINE_FORMAL_MODEL.md","7","high","reviewed"
"CMS009","notes/archive/formal-model/FORMAL_MODELS_IDEAS.md","Carry full archived formal ideas into consolidated no-loss story and triage","CORE_ENGINE_FORMAL_MODEL.md","7 and 10","high","reviewed"
"CMS010","notes/archive/formal-model/FORMAL_MODEL_REMAINING_NOTES.md","Carry deferred decisions into consolidated explicit decision register","CORE_ENGINE_FORMAL_MODEL.md","7.3","high","reviewed"
"CMS011","notes/archive/formal-model/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","Carry status-derived kickoff and pack implications into consolidated work plan","CORE_ENGINE_FORMAL_MODEL.md","7.4","medium","reviewed"
"CMS012","inputs/prompt.txt","Ensure architecture doc emphasizes outside-core discussion + core/non-core interaction summary","ARCHITECTURE_AND_REQUIREMENTS.md","3.7-3.10.1","high","reviewed"
"CMS013","notes/FORMAL_*.md redirects","Keep superseded formal notes archived and path-stable as non-active sources","notes/FORMAL_*.md and notes/archive/formal-model/*","redirect/archive status","medium","reviewed"
"CMS014","inputs/prompt.txt","Add explicit no-loss coverage index mapping source families to consolidated sections","CORE_ENGINE_FORMAL_MODEL.md","10","high","reviewed"
