"case_id","scenario_id","task_id","corpus_id","probe_kind","target","formula_input","expected_acceptance","observed_acceptance","result_class","run_exit_status","edit_operation_status","edit_operation_message","stored_formula_initial","stored_formula_final","normalization_changed","final_value","final_display_text","step_count","evidence_bundle_ref","notes"
"FPCW1-007","SCN-EB028-AT-HASH-ACCEPT","ECS-EB-028","FPC-028-AT-HASH","parse_acceptance","Sheet1!D1","=@A1#","accepted","accepted","matches_expected","success","ok","","0","=A1#","true","10","10","4","evidence\SCN-EB028-AT-HASH-ACCEPT","Combined @ and # operator acceptance."
"FPCW1-005","SCN-EB028-AT-OP-ACCEPT","ECS-EB-028","FPC-028-AT-HASH","parse_acceptance","Sheet1!D1","=@A1:A3","accepted","accepted","matches_expected","success","ok","","0","=A1:A3","true","1","1","4","evidence\SCN-EB028-AT-OP-ACCEPT","Implicit intersection operator acceptance."
"FPCW1-012","SCN-EB028-FIELDVALUE-ACCEPT","ECS-EB-028","FPC-028-DATA-TYPE-FIELD","parse_acceptance","Sheet1!D1","=FIELDVALUE(A1,""Price"")","accepted","accepted","matches_expected","success","ok","","0","=FIELDVALUE(A1,""Price"")","false","-2146826239","#FIELD!","4","evidence\SCN-EB028-FIELDVALUE-ACCEPT","FIELDVALUE parse acceptance regardless of runtime type availability."
"FPCW1-006","SCN-EB028-HASH-OP-ACCEPT","ECS-EB-028","FPC-028-AT-HASH","parse_acceptance","Sheet1!D1","=A1#","accepted","accepted","matches_expected","success","ok","","0","=A1#","false","10","10","4","evidence\SCN-EB028-HASH-OP-ACCEPT","Spill reference operator acceptance."
"FPCW1-008","SCN-EB028-HASH-PREFIX-REJECT","ECS-EB-028","FPC-028-AT-HASH","parse_acceptance","Sheet1!D1","=#A1","rejected","rejected","matches_expected","success","allowed_error","0x800A03EC","0","0","unknown","0","0","4","evidence\SCN-EB028-HASH-PREFIX-REJECT","Malformed prefix # token should reject."
"FPCW1-010","SCN-EB028-LAMBDA-INVOKE-ACCEPT","ECS-EB-028","FPC-028-LAMBDA-LET","parse_acceptance","Sheet1!D1","=LAMBDA(x,x+1)(2)","accepted","accepted","matches_expected","success","ok","","0","=LAMBDA(x,x+1)(2)","false","3","3","4","evidence\SCN-EB028-LAMBDA-INVOKE-ACCEPT","Inline LAMBDA invocation acceptance."
"FPCW1-011","SCN-EB028-LAMBDA-MISSINGPAREN-REJECT","ECS-EB-028","FPC-028-LAMBDA-LET","parse_acceptance","Sheet1!D1","=LAMBDA(x,x+1)(1,2","rejected","rejected","matches_expected","success","allowed_error","0x800A03EC","0","0","unknown","0","0","4","evidence\SCN-EB028-LAMBDA-MISSINGPAREN-REJECT","Malformed lambda invocation should reject."
"FPCW1-009","SCN-EB028-LET-ACCEPT","ECS-EB-028","FPC-028-LAMBDA-LET","parse_acceptance","Sheet1!D1","=LET(x,1,x+2)","accepted","accepted","matches_expected","success","ok","","0","=LET(x,1,x+2)","false","3","3","4","evidence\SCN-EB028-LET-ACCEPT","LET baseline acceptance."
"FPCW1-004","SCN-EB028-REF-DOUBLECOLON-REJECT","ECS-EB-028","FPC-028-REF-OPS","parse_acceptance","Sheet1!D1","=SUM(A1::B2)","rejected","rejected","matches_expected","success","allowed_error","0x800A03EC","0","0","unknown","0","0","4","evidence\SCN-EB028-REF-DOUBLECOLON-REJECT","Malformed range token should reject."
"FPCW1-003","SCN-EB028-REF-INTERSECTION-ACCEPT","ECS-EB-028","FPC-028-REF-OPS","parse_acceptance","Sheet1!D1","=SUM(A1:C1 A1:A3)","accepted","accepted","matches_expected","success","ok","","0","=SUM(A1:C1 A1:A3)","false","1","1","4","evidence\SCN-EB028-REF-INTERSECTION-ACCEPT","Space intersection operator acceptance."
"FPCW1-001","SCN-EB028-REF-RANGE-ACCEPT","ECS-EB-028","FPC-028-REF-OPS","parse_acceptance","Sheet1!D1","=SUM(A1:B2)","accepted","accepted","matches_expected","success","ok","","0","=SUM(A1:B2)","false","12","12","4","evidence\SCN-EB028-REF-RANGE-ACCEPT","Baseline range operator acceptance."
"FPCW1-002","SCN-EB028-REF-UNION-ACCEPT","ECS-EB-028","FPC-028-REF-OPS","parse_acceptance","Sheet1!D1","=SUM((A1:A2,B1:B2))","accepted","accepted","matches_expected","success","ok","","0","=SUM((A1:A2,B1:B2))","false","12","12","4","evidence\SCN-EB028-REF-UNION-ACCEPT","Union reference acceptance in SUM context."
"FPCW1-016","SCN-EB028-TABLE-BRACKET-REJECT","ECS-EB-028","FPC-028-TABLE-REF","parse_acceptance","Sheet1!D1","=SUM(TblParse[[#All],[Amount])","rejected","rejected","matches_expected","success","allowed_error","0x800A03EC","0","0","unknown","0","0","5","evidence\SCN-EB028-TABLE-BRACKET-REJECT","Malformed structured-ref brackets should reject."
"FPCW1-014","SCN-EB028-TABLE-COL-ACCEPT","ECS-EB-028","FPC-028-TABLE-REF","parse_acceptance","Sheet1!D1","=SUM(TblParse[Amount])","accepted","accepted","matches_expected","success","ok","","0","=SUM(TblParse[Amount])","false","30","30","5","evidence\SCN-EB028-TABLE-COL-ACCEPT","Structured table column reference acceptance."
"FPCW1-015","SCN-EB028-TABLE-THISROW-ACCEPT","ECS-EB-028","FPC-028-TABLE-REF","parse_acceptance","Sheet1!B2","=[@Amount]*2","accepted","accepted","matches_expected","success","ok","","0","=[@Amount]*2","false","20","20","5","evidence\SCN-EB028-TABLE-THISROW-ACCEPT","This-row structured reference acceptance inside table body."
