"case_id","scenario_id","probe_id","task_id","probe_kind","target_rules","fixture_requirements","fixture_profile","manual_prep_required","manual_prep_note","formula_input","target_cell","expected_outcome_class","expected_result_hint","notes"
"FPCP2-001","FMLP2-001","P2-FML-001","ECS-EB-031","argument_gap","FML-R-010","baseline grid values in A1,B1","baseline","False","","=SUM(A1,,B1)","Sheet1!D1","probe","","Double-comma middle argument gap."
"FPCP2-002","FMLP2-002","P2-FML-001","ECS-EB-031","argument_gap","FML-R-010","baseline grid values in A1,B1","baseline","False","","=SUM(,A1,B1)","Sheet1!D1","probe","","Double-comma leading argument gap."
"FPCP2-003","FMLP2-003","P2-FML-001","ECS-EB-031","argument_gap","FML-R-010","baseline grid values in A1,B1","baseline","False","","=SUM(A1,B1,)","Sheet1!D1","probe","","Trailing argument gap."
"FPCP2-004","FMLP2-004","P2-FML-001","ECS-EB-031","argument_gap","FML-R-010","baseline grid values in A1,B1","baseline","False","","=IF(,A1,B1)","Sheet1!D1","probe","","Missing logical_test argument behavior."
"FPCP2-005","FMLP2-005","P2-FML-001","ECS-EB-031","argument_gap","FML-R-010","baseline grid values in A1","baseline","False","","=LET(x,,x+1)","Sheet1!D1","probe","","LET missing value expression for bound name."
"FPCP2-006","FMLP2-006","P2-FML-002","ECS-EB-032","dot_field","FML-R-011","A1 plain numeric","baseline","False","","=A1.Price","Sheet1!D1","probe","","Dot-field on non-linked numeric cell."
"FPCP2-007","FMLP2-007","P2-FML-002","ECS-EB-032","dot_field","FML-R-011","A1 plain text","baseline","False","","=A1.Price","Sheet1!D1","probe","","Dot-field on non-linked text cell."
"FPCP2-008","FMLP2-008","P2-FML-002","ECS-EB-032","dot_field","FML-R-011","A1 linked data type with Price field","manual_linked_data","True","Convert Sheet1!A1 into a linked data type and ensure field ""Price"" is available before execution.","=A1.Price","Sheet1!D1","probe","","Dot-field on linked data type cell."
"FPCP2-009","FMLP2-009","P2-FML-002","ECS-EB-032","dot_field","FML-R-011","A1 linked data type","manual_linked_data","True","Convert Sheet1!A1 into a linked data type and ensure field ""Price"" is available before execution.","=FIELDVALUE(A1,""Price"")","Sheet1!D1","probe","","Function equivalent for field access."
"FPCP2-010","FMLP2-010","P2-FML-003","ECS-EB-033","intersection","FML-R-001","A1,B1 populated","baseline","False","","=A1 B1","Sheet1!D1","accepted","#NULL! or value depending intersection","Whitespace intersection baseline."
"FPCP2-011","FMLP2-011","P2-FML-003","ECS-EB-033","intersection","FML-R-001","A1,B1 populated","baseline","False","","=A1    B1","Sheet1!D1","probe","","Multiple-space intersection normalization/disambiguation."
"FPCP2-012","FMLP2-012","P2-FML-003","ECS-EB-033","intersection","FML-R-001","A1:C1 and A1:A3 populated","baseline","False","","=SUM(A1:C1  A1:A3)","Sheet1!D1","accepted","","Intersection in SUM with extra spacing."
"FPCP2-013","FMLP2-013","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","A1:A3 populated","baseline","False","","=LET(x,1,x+2)","Sheet1!D1","accepted","3","Helper baseline LET."
"FPCP2-014","FMLP2-014","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","A1:A3 populated","baseline","False","","=LAMBDA(x,x+1)(2)","Sheet1!D1","accepted","3","Helper baseline inline LAMBDA invoke."
"FPCP2-015","FMLP2-015","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","A1:A3 populated","baseline","False","","=MAP(A1:A3,LAMBDA(x,x+1))","Sheet1!D1","probe","","Helper MAP availability and grammar."
"FPCP2-016","FMLP2-016","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","A1:C3 populated","baseline","False","","=BYROW(A1:C3,LAMBDA(r,SUM(r)))","Sheet1!D1","probe","","Helper BYROW availability and grammar."
"FPCP2-017","FMLP2-017","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","A1:A3 populated","baseline","False","","=SCAN(0,A1:A3,LAMBDA(a,b,a+b))","Sheet1!D1","probe","","Helper SCAN availability and grammar."
"FPCP2-018","FMLP2-018","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","A1:A3 populated","baseline","False","","=LAMBDA(x,x+1)(1,2","Sheet1!D1","rejected","","Malformed helper expression should reject."
"FPCP2-019","FMLP2-019","P2-FML-005","ECS-EB-035","name_resolution","FML-R-008","Workbook name MyName and sheet-local MyName configured","name_shadowing","False","","=MyName","Sheet1!D1","probe","","Name shadowing precedence."
"FPCP2-020","FMLP2-020","P2-FML-005","ECS-EB-035","name_resolution","FML-R-008","Workbook name MyName configured","workbook_name","False","","=Sheet1!MyName","Sheet1!D1","probe","","Explicit sheet-qualified name resolution."
"FPCP2-021","FMLP2-021","P2-FML-006","ECS-EB-036","external_reference","FML-R-006","Book2.xlsx present with Sheet1!A1","external_workbook_present","False","","='[Book2.xlsx]Sheet1'!A1","Sheet1!D1","probe","","External workbook reference grammar baseline."
"FPCP2-022","FMLP2-022","P2-FML-006","ECS-EB-036","external_reference","FML-R-006","Book2.xlsx missing","external_workbook_missing","False","","='[MissingBook.xlsx]Sheet1'!A1","Sheet1!D1","probe","","Missing external workbook behavior."
"FPCP2-023","FMLP2-023","P2-FML-007","ECS-EB-037","structured_reference","FML-R-009","Table TblParse with Amount column","table_tblparse","False","","=SUM(TblParse[Amount])","Sheet1!D1","accepted","","Structured reference baseline."
"FPCP2-024","FMLP2-024","P2-FML-007","ECS-EB-037","structured_reference","FML-R-009","Inside table row context","table_tblparse","False","","=[@Amount]*2","Sheet1!B2","accepted","","This-row qualifier baseline."
"FPCP2-025","FMLP2-025","P2-FML-007","ECS-EB-037","structured_reference","FML-R-009","Table TblParse with Amount column","table_tblparse","False","","=SUM(TblParse[[#All],[Amount]])","Sheet1!D1","probe","","Structured qualifier combination."
"FPCP2-026","FMLP2-026","P2-FML-007","ECS-EB-037","structured_reference","FML-R-009","Table TblParse with Amount column","table_tblparse","False","","=SUM(TblParse[[#All],[Amount])","Sheet1!D1","rejected","","Malformed bracket sequence."
"FPCP2-027","FMLP2-027","P2-FML-008","ECS-EB-038","at_hash_interaction","FML-R-003;FML-R-004;FML-R-005","A1 spill anchor for SEQUENCE(3)","spill_anchor","False","","=@A1#","Sheet1!D1","probe","","Combined @ and # in spill context."
"FPCP2-028","FMLP2-028","P2-FML-008","ECS-EB-038","at_hash_interaction","FML-R-003;FML-R-005","A1 spill anchor for SEQUENCE(3)","spill_anchor","False","","=@SEQUENCE(3)","Sheet1!D1","probe","","@ with dynamic array producer."
"FPCP2-029","FMLP2-029","P2-FML-008","ECS-EB-038","at_hash_interaction","FML-R-004;FML-R-005","A1 non-spill scalar","baseline","False","","=A1#","Sheet1!D1","probe","","# on non-spill anchor behavior."
"FPCP2-030","FMLP2-030","P2-FML-009","ECS-EB-039","normalization","FML-R-007","Table TblParse with Amount column","table_tblparse","False","","=sum(tblparse[amount])","Sheet1!D1","accepted","","Normalization of function/table/column casing."
"FPCP2-031","FMLP2-031","P2-FML-009","ECS-EB-039","normalization","FML-R-007","Workbook name MyName configured","workbook_name","False","","=sum(MyName)","Sheet1!D1","probe","","Normalization with workbook names."
