"suggestion_id","source_file","suggestion_summary","target_doc_candidate","target_section_candidate","priority","status"
"FM001","notes/FORMAL_MODELS_IDEAS.md","Promote explicit layered semantics model (Structure, References, Dependencies, Values, Operations)","ARCHITECTURE_AND_REQUIREMENTS.md","3.12","high","reviewed"
"FM002","notes/FORMAL_MODELS_IDEAS.md;notes/RUNNING_PROJECT_NOTES.md","Adopt Roslyn-inspired immutable green and facade red split for tree-grid state","ARCHITECTURE_AND_REQUIREMENTS.md","3.11","high","reviewed"
"FM003","notes/FORMAL_MODELS_IDEAS.md","Define canonical formal data structures for snapshot kernel (IDs, axis orders, cell store, snapshot)","ARCHITECTURE_AND_REQUIREMENTS.md","3.11","high","reviewed"
"FM004","notes/FORMAL_MODELS_IDEAS.md","Specify OpLog transition relation and operation envelope semantics","ARCHITECTURE_AND_REQUIREMENTS.md","3.13","high","reviewed"
"FM005","notes/FORMAL_MODELS_IDEAS.md","Define structural rewrite semantics with total row/column rewrite functions","ARCHITECTURE_AND_REQUIREMENTS.md","3.14","high","reviewed"
"FM006","notes/FORMAL_MODELS_IDEAS.md","Keep region nodes and invalid references as first-class reference-layer entities","ARCHITECTURE_AND_REQUIREMENTS.md","3.12 and 3.15","high","reviewed"
"FM007","notes/FORMAL_MODELS_IDEAS.md","Add explicit binder context and normalized bound-reference forms","ARCHITECTURE_AND_REQUIREMENTS.md","3.15","high","reviewed"
"FM008","notes/FORMAL_MODELS_IDEAS.md","Require deterministic reference-grid delta maintenance after structural and formula edits","ARCHITECTURE_AND_REQUIREMENTS.md","3.15","high","reviewed"
"FM009","notes/FORMAL_MODELS_IDEAS.md","Formalize cycle detection semantics around SCC decomposition and deterministic order","ARCHITECTURE_AND_REQUIREMENTS.md","3.16","high","reviewed"
"FM010","notes/FORMAL_MODELS_IDEAS.md","Define iterative cycle mode contract including convergence and stabilization conditions","ARCHITECTURE_AND_REQUIREMENTS.md","3.16","high","reviewed"
"FM011","notes/FORMAL_MODELS_IDEAS.md","Prepare formalization seam for Lean and OCaml with module split and shared trace schema","ARCHITECTURE_AND_REQUIREMENTS.md","3.17","high","reviewed"
"FM012","notes/FORMAL_MODELS_IDEAS.md;notes/BRAINSTORM_NOTES.md","Strengthen constraints for ID-based identity, rewrite determinism, and replay semantics","ARCHITECTURE_AND_REQUIREMENTS.md","4","high","reviewed"
"FM013","notes/FORMAL_MODELS_IDEAS.md","Expand requirements around structural rewrite diagnostics, deterministic replay, and cycle observability","ARCHITECTURE_AND_REQUIREMENTS.md","5","high","reviewed"
"FM014","notes/FORMAL_MODELS_IDEAS.md","Add formal-core trace artifacts to Round 0 normative contract","ARCHITECTURE_AND_REQUIREMENTS.md","6.1","medium","reviewed"
"FM015","notes/FORMAL_MODELS_IDEAS.md;notes/review/alternative_architectures.md","Retain unresolved representation candidates and benchmark-matrix ideas as deferred backlog","notes/FORMAL_MODEL_REMAINING_NOTES.md","3 and 7","medium","reviewed"
"FM016","notes/FORMAL_MODELS_IDEAS.md","Retain unresolved value algebra and pure/impure/volatile semantics as explicit deferred items","notes/FORMAL_MODEL_REMAINING_NOTES.md","4","medium","reviewed"
"FM017","notes/FORMAL_MODELS_IDEAS.md","Retain unresolved dynamic-reference and spill-overwrite formal semantics in backlog","notes/FORMAL_MODEL_REMAINING_NOTES.md","4","medium","reviewed"
"FM018","notes/FORMAL_MODELS_IDEAS.md","Retain unresolved OpLog compaction/conflict semantics as next-pass design items","notes/FORMAL_MODEL_REMAINING_NOTES.md","6","medium","reviewed"
"FM019","notes/INDEPENDENT_REVIEW.md;notes/review/formal_methods_reality.md","Collapse architecture to single engine and remove OCaml oracle from Round 0","ARCHITECTURE_AND_REQUIREMENTS.md","1 and 6","medium","reviewed"
"FM020","notes/FORMAL_MODELS_IDEAS.md","Finalize row/column ID scope and addressing canonicalization immediately","ARCHITECTURE_AND_REQUIREMENTS.md","3.11","low","reviewed"
