"source_id","priority_tier","authority","domain","title","url","coverage_tags","status","notes"
"ECS-001","A","official_ms_support","functions","Excel functions (alphabetical)","https://support.microsoft.com/en-us/office/excel-functions-alphabetical-b3944572-255d-4efb-bb96-c6d90033e188","function_inventory|version_markers","screened","Primary canonical function inventory anchor"
"ECS-002","A","official_ms_support","functions","Excel functions (by category)","https://support.microsoft.com/en-us/office/excel-functions-by-category-5f91f4e9-7b42-46d2-9bd1-63f26a86c0eb","function_inventory|categories|version_markers","screened","Primary category anchor with introduction markers"
"ECS-003","A","official_ms_support","formula","Calculation operators and precedence in Excel","https://support.microsoft.com/en-us/office/calculation-operators-and-precedence-in-excel-48be406d-4975-4d31-b2b8-7af9e0e2878a","operator_semantics|precedence","screened","Includes reference operators and precedence table"
"ECS-004","A","official_ms_support","formula","Implicit intersection operator at","https://support.microsoft.com/en-gb/office/implicit-intersection-operator-ce3be07b-0101-4450-a24e-c1c999be2b34","dynamic_arrays|implicit_intersection","screened","Explains migration behavior and @ insertion"
"ECS-005","A","official_ms_support","formula","Spilled range operator","https://support.microsoft.com/en-us/office/spilled-range-operator-3dd5899f-bca2-4b9d-a172-3eae9ac22efd","dynamic_arrays|spill_operator","screened","Defines hash spill-range operator"
"ECS-006","A","official_ms_support","formula","Dynamic array formulas and spilled array behavior","https://support.microsoft.com/en-us/office/dynamic-array-formulas-and-spilled-array-behavior-205c6b06-03ba-4151-89a1-87a7eb36e531","dynamic_arrays|spill_behavior","screened","Core spill behavior guidance"
"ECS-007","A","official_ms_support","formula","Excel functions that return ranges or arrays","https://support.microsoft.com/en-us/office/excel-functions-that-return-ranges-or-arrays-7d1970e2-cbaa-4279-b59c-b9dd3900fc69","dynamic_arrays|legacy_transition","screened","Important for at-operator migration"
"ECS-008","A","official_ms_learn_open_specs","formula","MS-XLSX Formulas","https://learn.microsoft.com/en-us/openspecs/office_standards/ms-xlsx/3d025add-118d-4413-9856-ab65712ec1b0","abnf_grammar|structured_refs","screened","Formal grammar anchor"
"ECS-009","A","official_ms_learn_open_specs","formula","MS-XLSX Cell Formulas","https://learn.microsoft.com/en-us/openspecs/office_standards/ms-xlsx/bb813b21-5c61-41e8-b91c-3ebb4550666c","cell_formula_constraints","screened","Formula record constraints"
"ECS-010","A","official_ms_support","names","Define and use names in formulas","https://support.microsoft.com/en-us/office/define-and-use-names-in-formulas-4d0f13ac-53b7-422e-afd2-abd7ff379c64","name_rules|scope","screened","Primary names overview"
"ECS-011","A","official_ms_support","names","Names in formulas","https://support.microsoft.com/en-us/office/names-in-formulas-fc2935f9-115d-4bef-a370-3aa8bb4c91f1","name_syntax|precedence","screened","Detailed scope and syntax notes"
"ECS-012","A","official_ms_support","tables","Using structured references with Excel tables","https://support.microsoft.com/en-us/office/using-structured-references-with-excel-tables-f5ed2452-2337-4f71-bed3-c8ae6d2b276e","table_refs|structured_ref_syntax","screened","Primary table formula syntax source"
"ECS-013","A","official_ms_support","tables","Use calculated columns in an Excel table","https://support.microsoft.com/en-au/office/use-calculated-columns-in-an-excel-table-873fbac6-7110-4300-8f6f-aafa2ea11ce8","table_auto_expand|calculated_columns","screened","Auto-fill and expansion behavior"
"ECS-014","A","official_ms_support","tables","Use calculated columns in a table in Excel for the web","https://support.microsoft.com/en-us/office/use-calculated-columns-in-a-table-in-excel-for-the-web-f048e0fe-120f-4717-9f07-50a0b1410263","table_auto_expand|web_behavior","screened","Web parity source"
"ECS-015","A","official_ms_learn","objects","ListObject object Excel","https://learn.microsoft.com/en-us/office/vba/api/excel.listobject","listobject_api|table_lifecycle","screened","Supplemental object model sourceECS-016"
"ECS-017","A","official_ms_support","types","IS functions","https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665","type_predicates|error_detection","screened","Value-class predicates"
"ECS-018","A","official_ms_support","types","N function","https://support.microsoft.com/en-au/office/n-function-a624cad1-3635-4208-b54a-29733d1278c9","type_coercion|date_serials","screened","Numeric coercion behavior"
"ECS-019","A","official_ms_support","types","VALUE function","https://support.microsoft.com/en-us/office/value-function-257d0108-07dc-437d-ae1c-bc2d3953d8c2","type_coercion|text_to_number","screened","Text-to-number coercion"
"ECS-020","A","official_ms_support","types","VALUETOTEXT function","https://support.microsoft.com/en-au/office/valuetotext-function-5fff61a2-301a-4ab2-9ffa-0a5242a08fea","type_coercion|rendering","screened","Controlled value-to-text rendering"
"ECS-021","A","official_ms_support","types","Excel data types stocks and geography","https://support.microsoft.com/office/excel-data-types-stocks-and-geography-61a33056-9935-484f-8ac8-f1a89e210877","linked_data_types|compound_values","screened","Extended data types baseline"
"ECS-022","A","official_ms_support","types","What linked data types are available in Excel","https://support.microsoft.com/en-us/office/what-linked-data-types-are-available-in-excel-6510ab58-52f6-4368-ba0f-6a76c0190772","linked_data_types|availability","screened","Availability and deprecation notes"
"ECS-023","A","official_ms_support","types","Linked data types FAQ and tips","https://support.microsoft.com/en-us/office/linked-data-types-faq-and-tips-d48d6394-c83a-43cd-9d94-78257102f054","linked_data_types|limitations","screened","Requirements and limits"
"ECS-024","A","official_ms_support","types","How to write formulas that reference data types","https://support.microsoft.com/en-au/office/how-to-write-formulas-that-reference-data-types-295d95e2-1e8a-4337-bfa9-0582b815c0b4","linked_data_formula_syntax|dot_operator","screened","Field dereference syntax guidance"
"ECS-025","A","official_ms_support","types","FIELDVALUE function","https://support.microsoft.com/en-au/office/fieldvalue-function-4a579c45-7326-4168-b556-df8b5685175b","linked_data_formula_syntax|field_extraction","screened","Field extraction function"
"ECS-026","A","official_ms_support","formatting","Review guidelines for customizing a number format","https://support.microsoft.com/en-us/office/review-guidelines-for-customizing-a-number-format-c0a1d1fa-d3f4-4018-96b7-9c9354dd99f5","number_format_grammar","screened","Number format grammar anchor"
"ECS-027","A","official_ms_support","formatting","Create a custom number format","https://support.microsoft.com/en-us/office/create-a-custom-number-format-78f2a361-936b-4c03-8772-09fab54be7f4","number_format_practice","screened","Custom format practice and examples"
"ECS-028","A","official_ms_support","formatting","Use conditional formatting to highlight information","https://support.microsoft.com/en-us/office/use-conditional-formatting-to-highlight-information-fed60dfa-1d3f-4e13-9ecb-f1951ff89d7f","conditional_formatting_user_model","screened","Primary conditional formatting guidance"
"ECS-029","A","official_ms_support","formatting","Create conditional formulas","https://support.microsoft.com/en-us/office/create-conditional-formulas-ca916c57-abd8-4b44-997c-c309b7307831","conditional_formula_rules","screened","Formula-based CF rules"
"ECS-030","A","official_ms_learn_openxml","formatting","Working with conditional formatting Open XML","https://learn.microsoft.com/en-us/office/open-xml/spreadsheet/working-with-conditional-formatting","conditional_formatting_ooxml","screened","Schema-level conditional formatting reference"
"ECS-031","A","official_ms_support","formatting","Merge and unmerge cells in Excel","https://support.microsoft.com/en-us/office/merge-and-unmerge-cells-in-excel-5cbd15d5-9375-4540-907f-c673a93fcedf","merge_cells_behavior","screened","Merge behavior guidance"
"ECS-032","A","official_ms_support","formatting","Find merged cells","https://support.microsoft.com/en-us/office/find-merged-cells-d02b2a5a-a08d-4641-8d4d-b3f233daca2c","merge_cells_discovery","screened","Operational impact source"
"ECS-033","A","official_ms_support","limits","Excel specifications and limits","https://support.microsoft.com/en-us/office/excel-specifications-and-limits-1672b34d-7043-467e-8e27-269d656771c3","grid_limits|format_limits|calc_limits","screened","Critical compatibility limits baseline"
"ECS-034","A","official_ms_support","versioning","Compatibility Versions","https://support.microsoft.com/en-us/office/compatibility-versions-49f5d3bf-d9a4-47a3-9db8-e776f664cbf9","compat_versioning|function_behavior_deltas","screened","Workbook-scoped compatibility setting"
"ECS-035","A","official_ms_learn","versioning","Overview of update channels for Microsoft 365 Apps","https://learn.microsoft.com/en-us/microsoft-365-apps/updates/overview-update-channels","channel_rollout","screened","Channel behavior baseline"
"ECS-036","A","official_ms_learn","versioning","Release notes for Monthly Enterprise Channel","https://learn.microsoft.com/en-us/officeupdates/monthly-enterprise-channel","channel_release_notes","screened","Feature arrival triangulation source"
"ECS-037","A","official_ms_learn","calc","Excel Recalculation","https://learn.microsoft.com/en-us/office/client-developer/excel/excel-recalculation","volatile_functions|calc_behavior","screened","Volatile function and recalc behavior anchor"
"ECS-038","A","official_ms_learn","calc","Excel performance tips for optimizing performance obstructions","https://learn.microsoft.com/en-us/office/vba/excel/concepts/excel-performance/excel-tips-for-optimizing-performance-obstructions","perf_guidance|volatile_risk","screened","Includes indirect and volatile risk guidance"
"ECS-039","A","official_ms_support","functions","NOW function","https://support.microsoft.com/en-us/office/now-function-3337fd29-145a-4347-b2e6-20c904739c46","volatile|format_behavior","screened","Notes general-format auto-change behavior"
"ECS-040","A","official_ms_support","functions","RTD function","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","external_realtime_data","screened","Primary worksheet RTD source"
"ECS-041","A","official_ms_support","functions","LET function","https://support.microsoft.com/en-us/office/let-function-34842dd8-b92b-4d3f-b325-b8b8f9908999","functional_formula","screened","Core functional formula feature"
"ECS-042","A","official_ms_support","functions","LAMBDA function","https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67","functional_formula","screened","User-defined workbook-native functions"
"ECS-043","A","official_ms_support","functions","BYROW function","https://support.microsoft.com/en-us/office/byrow-function-2e04c677-78c8-4e6b-8c10-a4602f2602bb","functional_helper|dynamic_array","screened","LAMBDA helper family"
"ECS-044","A","official_ms_support","functions","REDUCE function","https://support.microsoft.com/en-us/office/reduce-function-42e39910-b345-45f3-84b8-0642b568b7cb","functional_helper|dynamic_array","screened","LAMBDA helper family"
