"suggestion_id","source_file","suggestion_summary","target_doc_candidate","target_section_candidate","priority","status"
"CDS001","inputs/design_brief.md","Define structural DAG vs calc-time overlay semantics and terminology","CORE_ENGINE_FORMAL_MODEL.md","6.2;6.3;6.4","high","proposed"
"CDS002","outputs/01_gap_map.md","Add spill-region lifecycle and invalidation algebra","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.4;6.3;6.5;5","high","proposed"
"CDS003","reference/conformance/excel-worksheet-engine/model/FEC_F3E_INTERFACE_DRAFT_SPEC.md","Harden FEC/F3E call contract for dependency token lifecycle and deterministic publication","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.4;6.4;3.18","high","proposed"
"CDS004","outputs/01_gap_map.md","Specify pure-calc fast-path guard conditions and fallback semantics","CORE_ENGINE_FORMAL_MODEL.md","5.4;6.6","high","proposed"
"CDS005","outputs/01_gap_map.md","Integrate async recalc + epoch visibility + lock discipline as explicit constraints","ARCHITECTURE_AND_REQUIREMENTS.md;CORE_ENGINE_FORMAL_MODEL.md","3.3;4(CONSTR-008);5.3;6.4","high","proposed"
"CDS006","research/runs/20260305-201430-dag-computation-theory-deep-research-pass-01/outputs/10_conformance_and_proof_obligations.md","Promote DAG obligation IDs and pack bindings into synthesis decision flow","OPERATIONS.md;notes/RESEARCH_NOTES.md","4;8;topic sections","medium","proposed"
"CDS007","inputs/design_brief.md","Model formatting-sensitive dependencies (for example TEXT) as calc-time overlay state with explicit invalidation semantics","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.4;6.3;6.4;3.18","high","reviewed"
"CDS008","inputs/design_brief.md","Introduce visibility-state representation and deterministic visible-first optional scheduling policy","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.4;6.4;3.3;3.10","high","reviewed"
"CDS009","../DnaVisiCalc/docs/ENGINE_FEC_F3E_REDESIGN_SPEC.md","Record cross-repo FEC/F3E transactional redesign assessment and gate conditions for core seam adoption","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md;OPERATIONS.md","3.18;5.4;6.4;4;8","high","reviewed"
"CDS010","../DnaVisiCalc/docs/ENGINE_FEC_F3E_FOUNDATION_UPDATED_SPEC_POINTERS_PROMPT.md","Ingest post-review b4 pointer set (spec/synthesis/reviews/traces/impl surfaces) as canonical FEC/F3E synthesis input set","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md;OPERATIONS.md","3.18;5.4;6.4;4;8","high","reviewed"
