"scenario_id","task_id","priority","domain","fixture","scenario_file","status","notes"
"SCN-EK001-PRECEDENCE","ECS-EK-001","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK001-PRECEDENCE.xlsx","scenarios/SCN-EK001-PRECEDENCE.json","completed","Operator precedence baseline."
"SCN-EK003-A1-COPY","ECS-EK-003","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK003-A1-COPY.xlsx","scenarios/SCN-EK003-A1-COPY.json","completed","A1 rewrite/copy baseline."
"SCN-EK005-NAME-RESOLUTION","ECS-EK-005","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK005-NAME-RESOLUTION.xlsx","scenarios/SCN-EK005-NAME-RESOLUTION.json","completed","Workbook name resolution baseline."
"SCN-EK009-SPILL-BLOCK","ECS-EK-009","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK009-SPILL-BLOCK.xlsx","scenarios/SCN-EK009-SPILL-BLOCK.json","completed","Spill block baseline."
"SCN-EK011-FUNCTION-RECOGNITION","ECS-EK-011","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK011-FUNCTION-RECOGNITION.xlsx","scenarios/SCN-EK011-FUNCTION-RECOGNITION.json","completed","500-function recognition sweep."
"SCN-EK012-TIER1-MATHSTAT","ECS-EK-012","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK012-TIER1-MATHSTAT.xlsx","scenarios/SCN-EK012-TIER1-MATHSTAT.json","completed","Tier-1 math/stat baseline."
"SCN-EK013-TIER1-TEXTLOGIC","ECS-EK-013","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK013-TIER1-TEXTLOGIC.xlsx","scenarios/SCN-EK013-TIER1-TEXTLOGIC.json","completed","Tier-1 text/logical baseline."
"SCN-EK014-LOOKUP-BASELINE","ECS-EK-014","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK014-LOOKUP-BASELINE.xlsx","scenarios/SCN-EK014-LOOKUP-BASELINE.json","completed","Lookup/reference baseline."
"SCN-EK015-AGGREGATE-BASELINE","ECS-EK-015","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK015-AGGREGATE-BASELINE.xlsx","scenarios/SCN-EK015-AGGREGATE-BASELINE.json","completed","Aggregate baseline."
"SCN-EK016-ERROR-HANDLING","ECS-EK-016","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK016-ERROR-HANDLING.xlsx","scenarios/SCN-EK016-ERROR-HANDLING.json","completed","Error-handling baseline."
"SCN-EK018-DYNAMIC-SHAPE","ECS-EK-018","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK018-DYNAMIC-SHAPE.xlsx","scenarios/SCN-EK018-DYNAMIC-SHAPE.json","completed","Dynamic shape baseline."
"SCN-EK024-TYPE-CODES","ECS-EK-024","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK024-TYPE-CODES.xlsx","scenarios/SCN-EK024-TYPE-CODES.json","completed","TYPE code baseline."
"SCN-EK025-N-CONVERSION","ECS-EK-025","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK025-N-CONVERSION.xlsx","scenarios/SCN-EK025-N-CONVERSION.json","completed","N conversion baseline."
"SCN-EK026-VALUE-CONVERSION","ECS-EK-026","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK026-VALUE-CONVERSION.xlsx","scenarios/SCN-EK026-VALUE-CONVERSION.json","completed","VALUE conversion baseline."
"SCN-EK027-VALUETOTEXT","ECS-EK-027","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK027-VALUETOTEXT.xlsx","scenarios/SCN-EK027-VALUETOTEXT.json","completed","VALUETOTEXT baseline."
"SCN-EK028-IS-FAMILY","ECS-EK-028","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK028-IS-FAMILY.xlsx","scenarios/SCN-EK028-IS-FAMILY.json","completed","IS* baseline."
"SCN-EK037-NUMFMT-CAT","ECS-EK-037","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK037-NUMFMT-CAT.xlsx","scenarios/SCN-EK037-NUMFMT-CAT.json","completed","Number format category baseline."
"SCN-EK038-CUSTOM-NUMFMT","ECS-EK-038","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK038-CUSTOM-NUMFMT.xlsx","scenarios/SCN-EK038-CUSTOM-NUMFMT.json","completed","Custom number format baseline."
"SCN-EK039-DATETIME-FMT","ECS-EK-039","P1","known_known","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/known_known_wave1/SCN-EK039-DATETIME-FMT.xlsx","scenarios/SCN-EK039-DATETIME-FMT.json","completed","Datetime format baseline."
