"score_id","case_id","scenario_id","task_id","source_task_id","family","confidence_input","confidence_output","result_status","follow_up_required","confidence_reason","evidence_bundle_ref","notes"
"CCW1-CW1-001","CW1-001","SCN-EB024-OP-CORE","ECS-EB-027","ECS-EB-024","operator","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB024-OP-CORE","numeric text plus number"
"CCW1-CW1-002","CW1-002","SCN-EB024-OP-CORE","ECS-EB-027","ECS-EB-024","operator","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB024-OP-CORE","non-numeric text plus number"
"CCW1-CW1-003","CW1-003","SCN-EB024-OP-CORE","ECS-EB-027","ECS-EB-024","operator","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB024-OP-CORE","boolean multiply coercion"
"CCW1-CW1-004","CW1-004","SCN-EB024-OP-CORE","ECS-EB-027","ECS-EB-024","operator","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB024-OP-CORE","boolean add coercion"
"CCW1-CW1-005","CW1-005","SCN-EB024-OP-CORE","ECS-EB-027","ECS-EB-024","operator","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB024-OP-CORE","boolean add coercion false"
"CCW1-CW1-006","CW1-006","SCN-EB024-OP-CORE","ECS-EB-027","ECS-EB-024","operator","high","high","matches_expected","false","empirical_support","evidence\SCN-EB024-OP-CORE","concat coercion"
"CCW1-CW1-007","CW1-007","SCN-EB024-OP-CORE","ECS-EB-027","ECS-EB-024","operator","low","low","probe","true","probe_expected_requires_interpretation","evidence\SCN-EB024-OP-CORE","comparison coercion probe"
"CCW1-CW1-008","CW1-008","SCN-EB024-OP-CORE","ECS-EB-027","ECS-EB-024","operator","high","high","matches_expected","false","empirical_support","evidence\SCN-EB024-OP-CORE","date serial delta under arithmetic"
"CCW1-CW1-009","CW1-009","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","high","high","matches_expected","false","empirical_support","evidence\SCN-EB025-FUNCTION-CORE","N text coercion"
"CCW1-CW1-010","CW1-010","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","high","high","matches_expected","false","empirical_support","evidence\SCN-EB025-FUNCTION-CORE","N logical coercion"
"CCW1-CW1-011","CW1-011","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","high","high","matches_expected","false","empirical_support","evidence\SCN-EB025-FUNCTION-CORE","TYPE number"
"CCW1-CW1-012","CW1-012","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","high","high","matches_expected","false","empirical_support","evidence\SCN-EB025-FUNCTION-CORE","TYPE text"
"CCW1-CW1-013","CW1-013","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","high","high","matches_expected","false","empirical_support","evidence\SCN-EB025-FUNCTION-CORE","TYPE logical"
"CCW1-CW1-014","CW1-014","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","high","high","matches_expected","false","empirical_support","evidence\SCN-EB025-FUNCTION-CORE","TYPE error"
"CCW1-CW1-015","CW1-015","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","high","high","matches_expected","false","empirical_support","evidence\SCN-EB025-FUNCTION-CORE","VALUE numeric text"
"CCW1-CW1-016","CW1-016","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","high","high","matches_expected","false","empirical_support","evidence\SCN-EB025-FUNCTION-CORE","VALUE invalid text"
"CCW1-CW1-017","CW1-017","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB025-FUNCTION-CORE","T numeric coercion"
"CCW1-CW1-018","CW1-018","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB025-FUNCTION-CORE","T text pass-through"
