"case_id","scenario_id","probe_id","task_id","probe_kind","target_rules","fixture_profile","manual_prep_required","manual_prep_note","formula_input","target_cell","expected_outcome_class","expected_result_hint","observed_acceptance","result_class","run_exit_status","edit_operation_status","edit_operation_message","linked_data_operation_status","linked_data_operation_message","support_workbook_operation_status","support_workbook_operation_message","stored_formula_initial","stored_formula_final","normalization_changed","final_value","final_display_text","final_number_format","step_count","evidence_exists","evidence_bundle_ref","notes"
"FPCP2-001","FMLP2-001","P2-FML-001","ECS-EB-031","argument_gap","FML-R-010","baseline","False","","=SUM(A1,,B1)","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=SUM(A1,,B1)","false","5","5","General","4","True","evidence\FMLP2-001","Double-comma middle argument gap."
"FPCP2-002","FMLP2-002","P2-FML-001","ECS-EB-031","argument_gap","FML-R-010","baseline","False","","=SUM(,A1,B1)","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=SUM(,A1,B1)","false","5","5","General","4","True","evidence\FMLP2-002","Double-comma leading argument gap."
"FPCP2-003","FMLP2-003","P2-FML-001","ECS-EB-031","argument_gap","FML-R-010","baseline","False","","=SUM(A1,B1,)","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=SUM(A1,B1,)","false","5","5","General","4","True","evidence\FMLP2-003","Trailing argument gap."
"FPCP2-004","FMLP2-004","P2-FML-001","ECS-EB-031","argument_gap","FML-R-010","baseline","False","","=IF(,A1,B1)","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=IF(,A1,B1)","false","4","4","General","4","True","evidence\FMLP2-004","Missing logical_test argument behavior."
"FPCP2-005","FMLP2-005","P2-FML-001","ECS-EB-031","argument_gap","FML-R-010","baseline","False","","=LET(x,,x+1)","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=LET(x,,x+1)","false","1","1","General","4","True","evidence\FMLP2-005","LET missing value expression for bound name."
"FPCP2-006","FMLP2-006","P2-FML-002","ECS-EB-032","dot_field","FML-R-011","baseline","False","","=A1.Price","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=A1.Price","false","-2146826239","#FIELD!","General","4","True","evidence\FMLP2-006","Dot-field on non-linked numeric cell."
"FPCP2-007","FMLP2-007","P2-FML-002","ECS-EB-032","dot_field","FML-R-011","baseline","False","","=A1.Price","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=A1.Price","false","-2146826239","#FIELD!","General","4","True","evidence\FMLP2-007","Dot-field on non-linked text cell."
"FPCP2-008","FMLP2-008","P2-FML-002","ECS-EB-032","dot_field","FML-R-011","manual_linked_data","True","Convert Sheet1!A1 into a linked data type and ensure field ""Price"" is available before execution.","=A1.Price","Sheet1!D1","probe","","accepted","probe","success","ok","","allowed_error","convert_to_linked_data_type failed for service ids [1,2]. Last error: Error while invoking ConvertToLinkedDataType.","","","0","=A1.Price","false","-2146826239","#FIELD!","General","5","True","evidence\FMLP2-008","Dot-field on linked data type cell."
"FPCP2-009","FMLP2-009","P2-FML-002","ECS-EB-032","dot_field","FML-R-011","manual_linked_data","True","Convert Sheet1!A1 into a linked data type and ensure field ""Price"" is available before execution.","=FIELDVALUE(A1,""Price"")","Sheet1!D1","probe","","accepted","probe","success","ok","","allowed_error","convert_to_linked_data_type failed for service ids [1,2]. Last error: Error while invoking ConvertToLinkedDataType.","","","0","=FIELDVALUE(A1,""Price"")","false","-2146826239","#FIELD!","General","5","True","evidence\FMLP2-009","Function equivalent for field access."
"FPCP2-010","FMLP2-010","P2-FML-003","ECS-EB-033","intersection","FML-R-001","baseline","False","","=A1 B1","Sheet1!D1","accepted","#NULL! or value depending intersection","accepted","matches_expected","success","ok","","","","","","0","=A1 B1","false","-2146826288","#NULL!","General","4","True","evidence\FMLP2-010","Whitespace intersection baseline."
"FPCP2-011","FMLP2-011","P2-FML-003","ECS-EB-033","intersection","FML-R-001","baseline","False","","=A1    B1","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=A1    B1","false","-2146826288","#NULL!","General","4","True","evidence\FMLP2-011","Multiple-space intersection normalization/disambiguation."
"FPCP2-012","FMLP2-012","P2-FML-003","ECS-EB-033","intersection","FML-R-001","baseline","False","","=SUM(A1:C1  A1:A3)","Sheet1!D1","accepted","","accepted","matches_expected","success","ok","","","","","","0","=SUM(A1:C1  A1:A3)","false","1","1","General","4","True","evidence\FMLP2-012","Intersection in SUM with extra spacing."
"FPCP2-013","FMLP2-013","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","baseline","False","","=LET(x,1,x+2)","Sheet1!D1","accepted","3","accepted","matches_expected","success","ok","","","","","","0","=LET(x,1,x+2)","false","3","3","General","4","True","evidence\FMLP2-013","Helper baseline LET."
"FPCP2-014","FMLP2-014","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","baseline","False","","=LAMBDA(x,x+1)(2)","Sheet1!D1","accepted","3","accepted","matches_expected","success","ok","","","","","","0","=LAMBDA(x,x+1)(2)","false","3","3","General","4","True","evidence\FMLP2-014","Helper baseline inline LAMBDA invoke."
"FPCP2-015","FMLP2-015","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","baseline","False","","=MAP(A1:A3,LAMBDA(x,x+1))","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=MAP(A1:A3,LAMBDA(x,x+1))","false","2","2","General","4","True","evidence\FMLP2-015","Helper MAP availability and grammar."
"FPCP2-016","FMLP2-016","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","baseline","False","","=BYROW(A1:C3,LAMBDA(r,SUM(r)))","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=BYROW(A1:C3,LAMBDA(r,SUM(r)))","false","12","12","General","4","True","evidence\FMLP2-016","Helper BYROW availability and grammar."
"FPCP2-017","FMLP2-017","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","baseline","False","","=SCAN(0,A1:A3,LAMBDA(a,b,a+b))","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=SCAN(0,A1:A3,LAMBDA(a,b,a+b))","false","1","1","General","4","True","evidence\FMLP2-017","Helper SCAN availability and grammar."
"FPCP2-018","FMLP2-018","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","baseline","False","","=LAMBDA(x,x+1)(1,2","Sheet1!D1","rejected","","rejected","matches_expected","success","allowed_error","0x800A03EC","","","","","0","0","unknown","0","0","General","4","True","evidence\FMLP2-018","Malformed helper expression should reject."
"FPCP2-019","FMLP2-019","P2-FML-005","ECS-EB-035","name_resolution","FML-R-008","name_shadowing","False","","=MyName","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=MyName","false","4","4","General","4","True","evidence\FMLP2-019","Name shadowing precedence."
"FPCP2-020","FMLP2-020","P2-FML-005","ECS-EB-035","name_resolution","FML-R-008","workbook_name","False","","=Sheet1!MyName","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","='FMLP2-020.xlsx'!MyName","true","1","1","General","4","True","evidence\FMLP2-020","Explicit sheet-qualified name resolution."
"FPCP2-021","FMLP2-021","P2-FML-006","ECS-EB-036","external_reference","FML-R-006","external_workbook_present","False","","='[Book2.xlsx]Sheet1'!A1","Sheet1!D1","probe","","accepted","probe","success","ok","","","","ok","","0","=[Book2.xlsx]Sheet1!A1","true","77","77","General","5","True","evidence\FMLP2-021","External workbook reference grammar baseline."
"FPCP2-022","FMLP2-022","P2-FML-006","ECS-EB-036","external_reference","FML-R-006","external_workbook_missing","False","","='[MissingBook.xlsx]Sheet1'!A1","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=[MissingBook.xlsx]Sheet1!A1","true","-2146826265","#REF!","General","4","True","evidence\FMLP2-022","Missing external workbook behavior."
"FPCP2-023","FMLP2-023","P2-FML-007","ECS-EB-037","structured_reference","FML-R-009","table_tblparse","False","","=SUM(TblParse[Amount])","Sheet1!D1","accepted","","accepted","matches_expected","success","ok","","","","","","0","=SUM(TblParse[Amount])","false","30","30","General","5","True","evidence\FMLP2-023","Structured reference baseline."
"FPCP2-024","FMLP2-024","P2-FML-007","ECS-EB-037","structured_reference","FML-R-009","table_tblparse","False","","=[@Amount]*2","Sheet1!B2","accepted","","accepted","matches_expected","success","ok","","","","","","0","=[@Amount]*2","false","20","20","General","5","True","evidence\FMLP2-024","This-row qualifier baseline."
"FPCP2-025","FMLP2-025","P2-FML-007","ECS-EB-037","structured_reference","FML-R-009","table_tblparse","False","","=SUM(TblParse[[#All],[Amount]])","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=SUM(TblParse[[#All],[Amount]])","false","30","30","General","5","True","evidence\FMLP2-025","Structured qualifier combination."
"FPCP2-026","FMLP2-026","P2-FML-007","ECS-EB-037","structured_reference","FML-R-009","table_tblparse","False","","=SUM(TblParse[[#All],[Amount])","Sheet1!D1","rejected","","rejected","matches_expected","success","allowed_error","0x800A03EC","","","","","0","0","unknown","0","0","General","5","True","evidence\FMLP2-026","Malformed bracket sequence."
