"source","case_id","scenario_id","target","expected_kind","expected_value","final_value","unique_observed_value_count","result_status","match_basis","evidence_bundle_ref","notes"
"reopen_wave1","RPDW1-001","SCN-EB044-REOPEN-COERCION","Sheet1!A1","stable_replay","1","3","1","matches_expected","stable_replay_signal","evidence\SCN-EB044-REOPEN-COERCION","SUM literal coercion should be stable across reopen."
"reopen_wave1","RPDW1-002","SCN-EB044-REOPEN-COERCION","Sheet1!A1","value","3","3","1","matches_expected","value_match","evidence\SCN-EB044-REOPEN-COERCION","SUM literal coercion baseline value."
"reopen_wave1","RPDW1-003","SCN-EB044-REOPEN-COERCION","Sheet1!A2","stable_replay","1","123.45","1","matches_expected","stable_replay_signal","evidence\SCN-EB044-REOPEN-COERCION","VALUE text conversion should be stable across reopen."
"reopen_wave1","RPDW1-004","SCN-EB044-REOPEN-COERCION","Sheet1!A2","value","123.45","123.45","1","matches_expected","value_match","evidence\SCN-EB044-REOPEN-COERCION","VALUE literal baseline value."
"reopen_wave1","RPDW1-005","SCN-EB044-REOPEN-DYNARRAY","Sheet1!B3","stable_replay","1","","0","mismatch","replay_instability","evidence\SCN-EB044-REOPEN-DYNARRAY","SEQUENCE spill tail should be stable across reopen."
"reopen_wave1","RPDW1-006","SCN-EB044-REOPEN-DYNARRAY","Sheet1!B3","value","3","","0","mismatch","value_mismatch","evidence\SCN-EB044-REOPEN-DYNARRAY","SEQUENCE spill tail baseline value."
"tier45_wave1","T45W1-030","SCN-EB021-EXTERNAL-REPLAY","Sheet1!A2","value","a%20b","a%20b","1","matches_expected","value_match","evidence\SCN-EB021-EXTERNAL-REPLAY","ENCODEURL deterministic literal baseline."
"tier45_wave1","T45W1-031","SCN-EB021-EXTERNAL-REPLAY","Sheet1!A2","stable_replay","1","a%20b","1","matches_expected","stable_replay_signal","evidence\SCN-EB021-EXTERNAL-REPLAY","ENCODEURL value should remain stable across save/close/reopen/recalc."
"tier45_wave1","T45W1-032","SCN-EB021-EXTERNAL-REPLAY","Sheet1!A1","probe","","<!doctype html><html lang=""en""><head><title>Example Domain</title><meta name=""viewport"" content=""width=device-width, initial-scale=1""><style>body{background:#eee;width:60vw;margin:15vh auto;font-family:system-ui,sans-serif}h1{font-size:1.5em}div{opacity:0.8}a:link,a:visited{color:#348}</style></head><body><div><h1>Example Domain</h1><p>This domain is for use in documentation examples without needing permission. Avoid use in operations.</p><p><a href=""https://iana.org/domains/example"">Learn more</a></p></div></body></html>
","1","probe","probe_expected","evidence\SCN-EB021-EXTERNAL-REPLAY","WEBSERVICE external dependency probe across replay cycle."
"tier45_wave1","T45W1-033","SCN-EB021-EXTERNAL-REPLAY","Sheet1!A3","stable_replay","1","1","1","matches_expected","stable_replay_signal","evidence\SCN-EB021-EXTERNAL-REPLAY","FILTERXML should stay stable under replay cycle when formula is accepted."
