"suggestion_id","source_file","target_doc","target_section","action","rationale","change_ref","owner","status"
"FM001","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.12","accept","Layered formal model is consistent with existing architecture and removes ambiguity between structure, references, dependencies, and values.","ARCHITECTURE_AND_REQUIREMENTS.md:191","@govert/Codex","verified"
"FM002","notes/FORMAL_MODELS_IDEAS.md;notes/RUNNING_PROJECT_NOTES.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.11","accept","Roslyn-style persistence facades fit immutable snapshot doctrine and clarify structural identity under edits.","ARCHITECTURE_AND_REQUIREMENTS.md:133","@govert/Codex","verified"
"FM003","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.11","accept","Canonical data structures are required preparation for Lean/OCaml formalization and cross-engine conformance.","ARCHITECTURE_AND_REQUIREMENTS.md:140","@govert/Codex","verified"
"FM004","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.13","accept","Explicit operation-envelope semantics and transition phases are needed to formalize OpLog behavior.","ARCHITECTURE_AND_REQUIREMENTS.md:205","@govert/Codex","verified"
"FM005","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.14","accept","Total rewrite functions and classification establish deterministic structural-edit semantics.","ARCHITECTURE_AND_REQUIREMENTS.md:252","@govert/Codex","verified"
"FM006","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.12 and 3.15","accept","Region nodes and error refs are necessary for explicit reference semantics and robust degradation behavior.","ARCHITECTURE_AND_REQUIREMENTS.md:272","@govert/Codex","verified"
"FM007","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.15","accept","Bind-context and normalized reference forms reduce ambiguity in reference resolution.","ARCHITECTURE_AND_REQUIREMENTS.md:275","@govert/Codex","verified"
"FM008","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.15","accept","Reference-grid forward/reverse index maintenance is required for deterministic incremental recomputation.","ARCHITECTURE_AND_REQUIREMENTS.md:297","@govert/Codex","verified"
"FM009","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.16","accept","SCC-based cycle semantics gives deterministic and testable dependency resolution behavior.","ARCHITECTURE_AND_REQUIREMENTS.md:304","@govert/Codex","verified"
"FM010","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.16","accept","Iterative-cycle contract is required to define convergence, terminal states, and stabilization boundaries.","ARCHITECTURE_AND_REQUIREMENTS.md:313","@govert/Codex","verified"
"FM011","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.17","accept","Formalization seams and module split directly prepare upcoming OCaml and Lean data-structure work.","ARCHITECTURE_AND_REQUIREMENTS.md:319","@govert/Codex","verified"
"FM012","notes/FORMAL_MODELS_IDEAS.md;notes/BRAINSTORM_NOTES.md","ARCHITECTURE_AND_REQUIREMENTS.md","4","accept","Additional constraints close structural and replay ambiguity that would otherwise leak into implementations.","ARCHITECTURE_AND_REQUIREMENTS.md:343","@govert/Codex","verified"
"FM013","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","5","accept","Requirements now explicitly cover deterministic structural rewrite, replay parity, and cycle observability.","ARCHITECTURE_AND_REQUIREMENTS.md:357","@govert/Codex","verified"
"FM014","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","6.1","accept","Formal-core trace artifacts are required to connect theory to executable conformance evidence in Round 0.","ARCHITECTURE_AND_REQUIREMENTS.md:398","@govert/Codex","verified"
"FM015","notes/FORMAL_MODELS_IDEAS.md;notes/review/alternative_architectures.md","notes/FORMAL_MODEL_REMAINING_NOTES.md","3 and 7","accept","Alternative representations retained as explicit backlog to avoid idea loss before empirical downselection.","notes/FORMAL_MODEL_REMAINING_NOTES.md:9","@govert/Codex","verified"
"FM016","notes/FORMAL_MODELS_IDEAS.md","notes/FORMAL_MODEL_REMAINING_NOTES.md","4","accept","Unsettled value and function-class semantics are captured as deferred and not silently dropped.","notes/FORMAL_MODEL_REMAINING_NOTES.md:15","@govert/Codex","verified"
"FM017","notes/FORMAL_MODELS_IDEAS.md","notes/FORMAL_MODEL_REMAINING_NOTES.md","4","accept","Dynamic-reference and spill-overlap ambiguities are retained for dedicated formal pass.","notes/FORMAL_MODEL_REMAINING_NOTES.md:18","@govert/Codex","verified"
"FM018","notes/FORMAL_MODELS_IDEAS.md","notes/FORMAL_MODEL_REMAINING_NOTES.md","6","accept","OpLog compaction/conflict semantics require dedicated collaboration-policy decisions and are tracked explicitly.","notes/FORMAL_MODEL_REMAINING_NOTES.md:26","@govert/Codex","verified"
"FM019","notes/INDEPENDENT_REVIEW.md;notes/review/formal_methods_reality.md","ARCHITECTURE_AND_REQUIREMENTS.md","1 and 6","defer","This conflicts with current charter/architecture doctrine that commits to dual engines and OCaml oracle; escalate as explicit DEC proposal before doctrine change.","notes/FORMAL_MODEL_REMAINING_NOTES.md:35","@govert/Codex","verified"
"FM020","notes/FORMAL_MODELS_IDEAS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.11","defer","Row/column ID scoping and canonical address policy are unresolved and captured as deferred to avoid premature lock-in.","notes/FORMAL_MODEL_REMAINING_NOTES.md:22","@govert/Codex","verified"
