suggestion_id,source_file,suggestion_summary,target_doc_candidate,target_section_candidate,priority,status
CPL001,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/responses/deep_research_core_engine_fec_f3e_design.md,"Promote Option-B staged core-engine realization baseline (sequential -> partitioned parallel -> advanced lanes)",ARCHITECTURE_AND_REQUIREMENTS.md;CORE_ENGINE_FORMAL_MODEL.md,3.19;6.8,high,reviewed
CPL002,research/runs/20260305-201430-dag-computation-theory-deep-research-pass-01/outputs/05_deep_research_synthesis.md,"Keep deterministic topo/SCC and conservative fallback as baseline before advanced dynamic-topo lanes",ARCHITECTURE_AND_REQUIREMENTS.md;CORE_ENGINE_FORMAL_MODEL.md,3.19;6.8,high,reviewed
CPL003,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/responses/foundation_program_catalog_and_project_charters_cleaned.md,"Promote explicit component-repo map (Foundation/DnaVisiCalc/OxFunc/OxFml/OxCalc/OxVba)",CHARTER.md;README.md;OPERATIONS.md;ARCHITECTURE_AND_REQUIREMENTS.md,3.2;program-map;7.2;3.20,high,reviewed
CPL004,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/responses/foundation_program_catalog_and_project_charters_cleaned.md,"Promote explicit host progression map (DNA VbCalc -> OneCalc -> TreeCalc -> PreCalc -> SuperCalc -> Calc)",CHARTER.md;README.md;OPERATIONS.md;ARCHITECTURE_AND_REQUIREMENTS.md,3.3;program-map;7.2;7.1,high,reviewed
CPL005,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/responses/foundation_program_catalog_and_project_charters_option_b.md,"Promote repo/host interpretation rule and keep Round names as stage names",CHARTER.md;README.md,3.3;program-map,medium,reviewed
CPL006,synthesis/runs/20260308-213253-core-engine-fec-f3e-synthesis-pass-02/outputs/synthesis_report.md,"Carry forward atomic publication + overlay lifecycle + coordinator fence emphasis into staged execution guidance",ARCHITECTURE_AND_REQUIREMENTS.md;CORE_ENGINE_FORMAL_MODEL.md,3.19;6.8,high,reviewed
CPL007,notes/archive/improvement-suggestions-20260309/IMPROVEMENT_SUGGESTIONS_CODEX1.md,"Convert host-conformance ladder policy into explicit sequence wave execution baseline",OPERATIONS.md,10.3,high,reviewed
CPL008,research/runs/20260305-201430-dag-computation-theory-deep-research-pass-01/outputs/10_conformance_and_proof_obligations.md,"Ensure staged progression has explicit pack/proof closure hooks",OPERATIONS.md;notes/THEORY_TO_PACK_REGISTER.md,4.1;register-followup,medium,reviewed
CPL009,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/responses/foundation_program_catalog_and_project_charters_cleaned.md,"Add dependency constitution concrete baseline edges (allowed/forbidden)",OPERATIONS.md,8.14,high,reviewed
CPL010,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/responses/foundation_program_catalog_and_project_charters_cleaned.md,"Create per-repo detailed charter docs now in Foundation",CHARTER.md;new-docs,repo-charters,medium,reviewed
CPL011,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/responses/foundation_program_catalog_and_project_charters_cleaned.md,"Introduce DNA Calc full product charter details now in Foundation",CHARTER.md;ARCHITECTURE_AND_REQUIREMENTS.md,future-product-charter,medium,reviewed
CPL012,research/runs/20260305-201430-dag-computation-theory-deep-research-pass-01/outputs/11_empirical_pack_definitions.md,"Lock all advanced dynamic-topo/SAC lanes as immediate baseline requirements",OPERATIONS.md;ARCHITECTURE_AND_REQUIREMENTS.md,4.1;3.19,low,reviewed
