"suggestion_id","source_file","target_doc","target_section","action","rationale","change_ref","owner","status"
"CMS001","inputs/prompt.txt","CORE_ENGINE_FORMAL_MODEL.md","1","accept","Explicitly positioned the doc as an evolving story/funnel and not final formal spec.","CORE_ENGINE_FORMAL_MODEL.md:1","@govert/Codex","verified"
"CMS002","ARCHITECTURE_AND_REQUIREMENTS.md 3.1","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.1;3.1","accept","Protocol-surface core semantics now live in core-model doc; architecture keeps concise summary.","CORE_ENGINE_FORMAL_MODEL.md:68; ARCHITECTURE_AND_REQUIREMENTS.md:30","@govert/Codex","verified"
"CMS003","ARCHITECTURE_AND_REQUIREMENTS.md 3.2","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.2;3.2","accept","Profile/feature-gate core semantics moved to core-model doc with architecture-level pointer.","CORE_ENGINE_FORMAL_MODEL.md:80; ARCHITECTURE_AND_REQUIREMENTS.md:40","@govert/Codex","verified"
"CMS004","ARCHITECTURE_AND_REQUIREMENTS.md 3.3","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.3;3.3","accept","Epoch and calc-delta detailed semantics consolidated in core-model doc.","CORE_ENGINE_FORMAL_MODEL.md:87; ARCHITECTURE_AND_REQUIREMENTS.md:45","@govert/Codex","verified"
"CMS005","ARCHITECTURE_AND_REQUIREMENTS.md 3.4","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.4;3.4","accept","Calculation/dependency/incremental details consolidated in core-model doc.","CORE_ENGINE_FORMAL_MODEL.md:108; ARCHITECTURE_AND_REQUIREMENTS.md:50","@govert/Codex","verified"
"CMS006","ARCHITECTURE_AND_REQUIREMENTS.md 3.6.1","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","5.6;3.6.1","accept","Controls/charts core-entity semantics consolidated in core-model doc.","CORE_ENGINE_FORMAL_MODEL.md:137; ARCHITECTURE_AND_REQUIREMENTS.md:94","@govert/Codex","verified"
"CMS007","ARCHITECTURE_AND_REQUIREMENTS.md 3.11-3.17","CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md","6;3.11-3.17","adapt","Architecture retains summary statements while detailed formal-state/transition semantics remain centralized in the core-model doc.","CORE_ENGINE_FORMAL_MODEL.md:142; ARCHITECTURE_AND_REQUIREMENTS.md:143","@govert/Codex","verified"
"CMS008","notes/BRAINSTORM_NOTES.md","CORE_ENGINE_FORMAL_MODEL.md","7","accept","Brainstorm ideas and open questions were triaged and retained under explicit tags.","CORE_ENGINE_FORMAL_MODEL.md:230","@govert/Codex","verified"
"CMS009","notes/archive/formal-model/FORMAL_MODELS_IDEAS.md","CORE_ENGINE_FORMAL_MODEL.md","7 and 10","adapt","Archived-formal ideas consolidated without claiming all exploratory material as baseline semantics.","CORE_ENGINE_FORMAL_MODEL.md:241","@govert/Codex","verified"
"CMS010","notes/archive/formal-model/FORMAL_MODEL_REMAINING_NOTES.md","CORE_ENGINE_FORMAL_MODEL.md","7.3","accept","Deferred formal decisions are now explicit in one register.","CORE_ENGINE_FORMAL_MODEL.md:260","@govert/Codex","verified"
"CMS011","notes/archive/formal-model/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","CORE_ENGINE_FORMAL_MODEL.md","7.4","accept","Kickoff and pack-implication guidance retained in consolidated work items.","CORE_ENGINE_FORMAL_MODEL.md:271","@govert/Codex","verified"
"CMS012","inputs/prompt.txt","ARCHITECTURE_AND_REQUIREMENTS.md","3.7-3.10.1","accept","Architecture doc retains outside-core sections and now includes explicit core/non-core interaction summary.","ARCHITECTURE_AND_REQUIREMENTS.md:131","@govert/Codex","verified"
"CMS013","notes/FORMAL_*.md redirects","notes/FORMAL_*.md and notes/archive/formal-model/*","redirect/archive status","accept","Superseded notes remain archived and path-stable as non-active sources.","notes/FORMAL_MODELS_IDEAS.md:1","@govert/Codex","verified"
"CMS014","inputs/prompt.txt","CORE_ENGINE_FORMAL_MODEL.md","10","accept","Added explicit no-loss coverage index mapping sources to consolidated sections.","CORE_ENGINE_FORMAL_MODEL.md:301","@govert/Codex","verified"
