"suggestion_id","source_file","suggestion_summary","target_doc_candidate","target_section_candidate","priority","status"
"FMC001","notes/archive/formal-model/FORMAL_MODELS_IDEAS.md","Consolidate layered semantic model and invariant framing into one formal-core doc","CORE_ENGINE_FORMAL_MODEL.md","4","high","reviewed"
"FMC002","notes/archive/formal-model/FORMAL_MODEL_REMAINING_NOTES.md","Consolidate deferred/open formal-model decisions into explicit backlog sections","CORE_ENGINE_FORMAL_MODEL.md","5","high","reviewed"
"FMC003","notes/archive/formal-model/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","Consolidate status/prioritized-next-actions into one formalization work plan","CORE_ENGINE_FORMAL_MODEL.md","6","medium","reviewed"
"FMC004","notes/archive/formal-model/FORMAL_MODELS_IDEAS.md","Preserve exploratory representation design-space ideas with explicit uncertainty labeling","CORE_ENGINE_FORMAL_MODEL.md","5.3 and 7","high","reviewed"
"FMC005","ARCHITECTURE_AND_REQUIREMENTS.md","Extract detailed formal sections from architecture doc into dedicated core formal-model doc","ARCHITECTURE_AND_REQUIREMENTS.md","3.11-3.17","high","reviewed"
"FMC006","ARCHITECTURE_AND_REQUIREMENTS.md","Replace extracted sections with concise architecture summaries and links","ARCHITECTURE_AND_REQUIREMENTS.md","3.11-3.17","high","reviewed"
"FMC007","README.md","Add top-level pointer to core formal model working doc","README.md","orientation","low","reviewed"
"FMC008","OPERATIONS.md","Assign explicit ownership of core formal-model doc to Green","OPERATIONS.md","2.1 Green responsibilities","low","reviewed"
"FMC009","notes/FORMAL_MODELS_IDEAS.md","Archive superseded formal notes and keep path-stable redirects","notes/FORMAL_*.md","full doc","high","reviewed"
"FMC010","notes/archive/formal-model/*","Retain full archived copies of superseded formal notes for audit/history","notes/archive/formal-model/*","full doc","medium","reviewed"
"FMC011","notes/archive/formal-model/FORMAL_MODELS_IDEAS.md","Carry uncertainty disclaimer for imported/vague material","CORE_ENGINE_FORMAL_MODEL.md","2 and 7","high","reviewed"
"FMC012","notes/archive/formal-model/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","Preserve OCaml/Lean kickoff and pack-implication guidance in consolidated plan","CORE_ENGINE_FORMAL_MODEL.md","6","medium","reviewed"
