"req_id","domain","title","statement","status","claim_confidence","assurance_maturity","evidence_ids","implementation_priority","test_priority","notes"
"XLS-CF-FL-001","formula_language","Operator precedence","Engine shall implement operator precedence and reference operators consistent with Excel worksheet semantics.","normative","draft","exercised","ECS-003;ECS-008","P0","P0","Use ABNF + precedence guidance as combined anchor."
"XLS-CF-FL-002","formula_language","Reference operator set","Engine shall accept range (`:`), union (`,`), and intersection (space) reference operators in worksheet formulas.","normative","draft","exercised","ECS-003;ECS-008","P0","P0","Intersection parsing must be explicitly tested."
"XLS-CF-FL-003","formula_language","Implicit intersection operator","Engine shall implement `@` implicit intersection semantics and migration-compatible behavior.","normative","draft","exercised","ECS-004;ECS-007","P0","P0","Behavior must be stable under modern dynamic-array context."
"XLS-CF-FL-004","formula_language","Spilled range operator","Engine shall implement `#` spilled-range operator behavior for dynamic-array results.","normative","draft","exercised","ECS-005;ECS-006","P0","P0","Includes dependent reference updates after spill resize."
"XLS-CF-FL-005","formula_language","Dynamic-array spill semantics","Engine shall implement spill placement/blocking semantics and visible spill errors.","normative","draft","exercised","ECS-006;ECS-007","P0","P0","Spill blockage and resize scenarios are required conformance lanes."
"XLS-CF-FL-006","formula_language","Formula grammar anchor","Parser grammar shall remain aligned to formal MS-XLSX formula grammar coverage where applicable.","normative","draft","exercised","ECS-008;ECS-009;REFX-001;EMP-0011","P0","P0","Do not widen grammar silently without explicit compatibility note; external-reference open-state policy remains build-scoped provisional."
"XLS-CF-FL-007","formula_language","Cell formula constraints","Cell-formula storage/normalization constraints shall match worksheet-level expectations from formal sources.","normative","draft","exercised","ECS-009;REFX-001","P1","P1","Normalization behavior should be preserved in serialization paths."
"XLS-CF-FL-008","formula_language","Name resolution rules","Name scope, syntax, and precedence shall follow Excel naming rules for workbook/sheet contexts.","normative","draft","exercised","ECS-010;ECS-011","P0","P0","Include collision and scope-shadowing tests."
"XLS-CF-FL-009","formula_language","Structured references in formulas","Structured-reference grammar and usage in formulas shall be supported as first-class formula constructs.","normative","draft","exercised","ECS-012;ECS-013;ECS-014","P0","P0","Table formulas are not treated as UI-only sugar."
"XLS-CF-FL-010","formula_language","Parser ambiguity: double-comma SUM","Behavior for `=SUM(A1,,B1)` shall be treated as build-scoped provisional compatibility behavior until broader evidence converges.","provisional","provisional","exercised","EMP-0001","P2","P0","Counter-signal retained; do not hard-code rejection without policy decision."
"XLS-CF-FL-011","formula_language","Dot-field parse/eval probe","Dot-field form acceptance and evaluation outcomes shall be treated as provisional and constrained by linked-data-type semantics.","provisional","provisional","exercised","ECS-024;ECS-025;EMP-0002","P2","P1","Requires dedicated linked-data fixture coverage."
