"scenario_id","task_id","priority","domain","fixture","scenario_file","status","notes"
"FMLP2-001","ECS-EB-031","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-001.xlsx","scenarios/FMLP2-001.json","completed","FPCP2-001|argument_gap|expected=probe|profile=baseline"
"FMLP2-002","ECS-EB-031","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-002.xlsx","scenarios/FMLP2-002.json","completed","FPCP2-002|argument_gap|expected=probe|profile=baseline"
"FMLP2-003","ECS-EB-031","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-003.xlsx","scenarios/FMLP2-003.json","completed","FPCP2-003|argument_gap|expected=probe|profile=baseline"
"FMLP2-004","ECS-EB-031","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-004.xlsx","scenarios/FMLP2-004.json","completed","FPCP2-004|argument_gap|expected=probe|profile=baseline"
"FMLP2-005","ECS-EB-031","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-005.xlsx","scenarios/FMLP2-005.json","completed","FPCP2-005|argument_gap|expected=probe|profile=baseline"
"FMLP2-006","ECS-EB-032","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-006.xlsx","scenarios/FMLP2-006.json","completed","FPCP2-006|dot_field|expected=probe|profile=baseline"
"FMLP2-007","ECS-EB-032","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-007.xlsx","scenarios/FMLP2-007.json","completed","FPCP2-007|dot_field|expected=probe|profile=baseline"
"FMLP2-008","ECS-EB-032","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-008.xlsx","scenarios/FMLP2-008.json","completed","FPCP2-008|dot_field|expected=probe|profile=manual_linked_data"
"FMLP2-009","ECS-EB-032","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-009.xlsx","scenarios/FMLP2-009.json","completed","FPCP2-009|dot_field|expected=probe|profile=manual_linked_data"
"FMLP2-010","ECS-EB-033","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-010.xlsx","scenarios/FMLP2-010.json","completed","FPCP2-010|intersection|expected=accepted|profile=baseline"
"FMLP2-011","ECS-EB-033","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-011.xlsx","scenarios/FMLP2-011.json","completed","FPCP2-011|intersection|expected=probe|profile=baseline"
"FMLP2-012","ECS-EB-033","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-012.xlsx","scenarios/FMLP2-012.json","completed","FPCP2-012|intersection|expected=accepted|profile=baseline"
"FMLP2-013","ECS-EB-034","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-013.xlsx","scenarios/FMLP2-013.json","completed","FPCP2-013|helper_forms|expected=accepted|profile=baseline"
"FMLP2-014","ECS-EB-034","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-014.xlsx","scenarios/FMLP2-014.json","completed","FPCP2-014|helper_forms|expected=accepted|profile=baseline"
"FMLP2-015","ECS-EB-034","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-015.xlsx","scenarios/FMLP2-015.json","completed","FPCP2-015|helper_forms|expected=probe|profile=baseline"
"FMLP2-016","ECS-EB-034","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-016.xlsx","scenarios/FMLP2-016.json","completed","FPCP2-016|helper_forms|expected=probe|profile=baseline"
"FMLP2-017","ECS-EB-034","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-017.xlsx","scenarios/FMLP2-017.json","completed","FPCP2-017|helper_forms|expected=probe|profile=baseline"
