"case_id","scenario_id","task_id","function_name","target","expected_kind","expected_value","confidence","notes"
"T45W1-001","SCN-EB018-DYNARRAY-MIXED","ECS-EB-018","FILTER","Sheet1!C1","value","1","medium","FILTER mixed-type baseline first spill cell."
"T45W1-002","SCN-EB018-DYNARRAY-MIXED","ECS-EB-018","FILTER","Sheet1!C3","value","3","medium","FILTER mixed-type baseline third spill cell."
"T45W1-003","SCN-EB018-DYNARRAY-MIXED","ECS-EB-018","UNIQUE","Sheet1!D4","value","x","low","UNIQUE should retain text member in spill."
"T45W1-004","SCN-EB018-DYNARRAY-MIXED","ECS-EB-018","SORT","Sheet1!E1","value","1","low","SORT mixed-type baseline first spill cell."
"T45W1-010","SCN-EB019-LAMBDA-HELPER-EDGE","ECS-EB-019","LAMBDA","Sheet1!C1","value","6","high","Inline LAMBDA invocation baseline."
"T45W1-011","SCN-EB019-LAMBDA-HELPER-EDGE","ECS-EB-019","LET","Sheet1!C2","value","7","high","LET binding baseline."
"T45W1-012","SCN-EB019-LAMBDA-HELPER-EDGE","ECS-EB-019","BYROW","Sheet1!C4","value","7","medium","BYROW spill second row baseline."
"T45W1-013","SCN-EB019-LAMBDA-HELPER-EDGE","ECS-EB-019","MAP","Sheet1!D4","value","6","medium","MAP spill second row baseline."
"T45W1-020","SCN-EB020-CUBE-CONTRACT","ECS-EB-020","CUBEMEMBER","Sheet1!A1","formula_contains","CUBEMEMBER","medium","CUBE contract: formula entry acceptance."
"T45W1-021","SCN-EB020-CUBE-CONTRACT","ECS-EB-020","CUBEVALUE","Sheet1!A2","formula_contains","CUBEVALUE","medium","CUBE contract: formula entry acceptance."
"T45W1-022","SCN-EB020-CUBE-CONTRACT","ECS-EB-020","CUBESET","Sheet1!A3","formula_contains","CUBESET","medium","CUBE contract: formula entry acceptance."
"T45W1-030","SCN-EB021-EXTERNAL-REPLAY","ECS-EB-021","ENCODEURL","Sheet1!A2","value","a%20b","high","ENCODEURL deterministic literal baseline."
"T45W1-031","SCN-EB021-EXTERNAL-REPLAY","ECS-EB-021","ENCODEURL","Sheet1!A2","stable_replay","1","high","ENCODEURL value should remain stable across save/close/reopen/recalc."
"T45W1-032","SCN-EB021-EXTERNAL-REPLAY","ECS-EB-021","WEBSERVICE","Sheet1!A1","probe","","low","WEBSERVICE external dependency probe across replay cycle."
"T45W1-033","SCN-EB021-EXTERNAL-REPLAY","ECS-EB-021","FILTERXML","Sheet1!A3","stable_replay","1","medium","FILTERXML should stay stable under replay cycle when formula is accepted."
