"suggestion_id","source_file","target_doc","target_section","action","rationale","change_ref","owner","status"
"VF001","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.3.2","adapt","Accepted the need for concrete CalcDelta shape, but kept it as baseline contract language to avoid over-locking transport/API mechanics.","ARCHITECTURE_AND_REQUIREMENTS.md:64","@govert/Codex","verified"
"VF002","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.4 and 3.12","accept","Unified NodeId graph model clarifies heterogeneous evaluation entities and aligns with current formal-core direction.","ARCHITECTURE_AND_REQUIREMENTS.md:90","@govert/Codex","verified"
"VF003","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.4.2","adapt","Included baseline dirty-closure model as a pathfinder-validated companion while retaining invariant model as normative formal target.","ARCHITECTURE_AND_REQUIREMENTS.md:107","@govert/Codex","verified"
"VF004","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.5.1","accept","External invalidation and volatile invalidation require explicit separation to preserve predictable incremental behavior.","ARCHITECTURE_AND_REQUIREMENTS.md:126","@govert/Codex","verified"
"VF005","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.6","adapt","Adopted three-category volatility model while keeping built-in classification profile-governed rather than hard-coding function lists in doctrine.","ARCHITECTURE_AND_REQUIREMENTS.md:142","@govert/Codex","verified"
"VF006","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.13","accept","Control/chart lifecycle needs explicit operation kinds for replayability and no-hidden-mutation compliance.","ARCHITECTURE_AND_REQUIREMENTS.md:306","@govert/Codex","verified"
"VF007","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","ARCHITECTURE_AND_REQUIREMENTS.md","3.6.1","adapt","Promoted controls/charts as engine entities with dependency participation, but kept details concise at architecture level.","ARCHITECTURE_AND_REQUIREMENTS.md:153","@govert/Codex","verified"
"VF008","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","ARCHITECTURE_AND_REQUIREMENTS.md","6.3","adapt","Captured pathfinder progress asymmetry as dated snapshot and explicit exit-blocker statement without redefining doctrine gates.","ARCHITECTURE_AND_REQUIREMENTS.md:510","@govert/Codex","verified"
"VF009","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","CHARTER.md","3.1","defer","CHARTER is mission/doctrine-first; volatile implementation-status annotations belong in architecture/operations status sections instead.","ARCHITECTURE_AND_REQUIREMENTS.md:510","@govert/Codex","verified"
"VF010","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","CHARTER.md","5","defer","Glossary expansion is valuable but currently too implementation-specific for CHARTER short glossary; revisit once terms stabilize across profiles.","notes/BRAINSTORM_NOTES.md:1","@govert/Codex","verified"
"VF011","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","OPERATIONS.md","4.1","adapt","Added explicit status terminology to prevent conflating local implementation exercise with Green-validated readiness.","OPERATIONS.md:85","@govert/Codex","verified"
"VF012","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","OPERATIONS.md","4.1","adapt","Added candidate Round 1 pack names as planning anchors without making them current mandatory Round 0 gates.","OPERATIONS.md:79","@govert/Codex","verified"
"VF013","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","OPERATIONS.md","10","defer","Concrete artifact filename inventories are useful but too time-variant for normative operations section; retain in synthesis artifacts instead.","synthesis/runs/20260226-224457-visicalc-foundation-pass-01/outputs/synthesis_report.md:1","@govert/Codex","verified"
"VF014","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","ARCHITECTURE_AND_REQUIREMENTS.md;OPERATIONS.md","6.3;10.1","adapt","Track decomposition added as planning lens while preserving existing hard gate authority from required artifacts and packs.","ARCHITECTURE_AND_REQUIREMENTS.md:510; OPERATIONS.md:223","@govert/Codex","verified"
"VF015","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","OPERATIONS.md","8.7","accept","Pathfinder feedback loop is now an explicit reusable synthesis-process pattern with required proposal structure.","OPERATIONS.md:193","@govert/Codex","verified"
