suggestion_id,source_file,suggestion_summary,target_doc_candidate,target_section_candidate,priority,status
CDS011,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/responses/chatgpt_pro_response.md,Freeze atomic derived publish bundle and reject no-op semantics,CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md,5.3;5.4;6.4;3.3,high,reviewed
CDS012,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/responses/deep_research_core_engine_fec_f3e_design.md,Add normative calc-overlay lifecycle and epoch-safe GC contract,CORE_ENGINE_FORMAL_MODEL.md,6.2;6.4;6.6,high,reviewed
CDS013,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/inputs/source/dnavisicalc-spec__SPEC_v0.md,Normalize cycle semantics profile wording to preserve v0 compatibility while keeping Foundation target modes,ARCHITECTURE_AND_REQUIREMENTS.md;CORE_ENGINE_FORMAL_MODEL.md,3.16;4(CONSTR-013);6.6,high,reviewed
CDS014,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/inputs/source/dnavisicalc-spec__ENGINE_API.md,Add explicit stream semantics version profile lane and v0 mapping,ARCHITECTURE_AND_REQUIREMENTS.md;CORE_ENGINE_FORMAL_MODEL.md,3.5;5.2,high,reviewed
CDS015,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/inputs/source/fec-f3e-current-spec__ENGINE_FEC_F3E_REDESIGN_SPEC.md,Harden FEC reject taxonomy and structured reject_detail payload contract,CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md,3.18;5.4;6.4,high,reviewed
CDS016,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/05_fec_f3e_redesign_review.md,Require runtime name and spill deltas to feed incremental invalidation closure deterministically,CORE_ENGINE_FORMAL_MODEL.md,5.4;6.3,high,reviewed
CDS017,reference/conformance/excel-worksheet-engine/model/EXCEL_FORMATTING_HIERARCHY_AND_VISIBILITY_MODEL.md,Freeze TEXT and conditional-format observability boundary as profile-gated and evidence-bound,CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md,5.4;6.2;6.1,high,reviewed
CDS018,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/03_stable_topic_entries.md,Promote visibility-first scheduler policy invariants and fairness bound requirements,CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md,5.4;6.4;3.3,medium,reviewed
CDS019,prompts/runs/20260308-182605-core-engine-fec-f3e-dual-model-review-pass-01/responses/gpt54/03_review2_final.md,Adopt single-publisher staged concurrency rollout with deterministic retry/fence semantics,ARCHITECTURE_AND_REQUIREMENTS.md;CORE_ENGINE_FORMAL_MODEL.md,3.3;5.3;6.4,high,reviewed
CDS020,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/responses/foundation_program_catalog_and_project_charters_cleaned.md,Integrate projects/repo wave execution plan into Foundation synthesis roadmap,README.md;OPERATIONS.md,program map;8.11,high,reviewed
CDS021,research/runs/20260305-201430-dag-computation-theory-deep-research-pass-01/outputs/10_conformance_and_proof_obligations.md,Promote DAG proof and pack rows into Foundation operations and research notes,OPERATIONS.md;notes/RESEARCH_NOTES.md,4;8;topic sections,medium,reviewed
CDS022,prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/inputs/source/fec-f3e-current-spec__CURRENT_SPEC_SET.md,Align CURRENT_SPEC_SET pointer text with actual maintained current-spec bundle contents,prompt-run artifact docs,current-spec set note,low,reviewed

