"scenario_id","task_id","priority","domain","fixture","scenario_file","status","notes"
"FMTP1-HIER-ROW-COL-CELL","FMT-EK-001","P0","formatting_hierarchy","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-HIER-ROW-COL-CELL-fresh.xlsx","scenarios/FMTP1-HIER-ROW-COL-CELL.json","planned","Hierarchy baseline matrix: workbook default + row + column + cell style index."
"FMTP1-HIER-CONFLICT-RC","FMT-EK-002","P0","formatting_hierarchy","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-HIER-CONFLICT-RC-fresh.xlsx","scenarios/FMTP1-HIER-CONFLICT-RC.json","planned","Row/column conflict precedence with and without explicit cell style."
"FMTP1-TABLE-OVERLAY","FMT-EK-003","P1","formatting_hierarchy","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-TABLE-OVERLAY-fresh.xlsx","scenarios/FMTP1-TABLE-OVERLAY.json","planned","Table-style region overlay versus direct formatting."
"FMTP1-CF-OVERLAY-PRECEDENCE","FMT-EK-004","P0","formatting_conditional","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-CF-OVERLAY-PRECEDENCE-fresh.xlsx","scenarios/FMTP1-CF-OVERLAY-PRECEDENCE.json","planned","CF overlap, priority order, stop-if-true interactions."
"FMTP1-DEFAULT-STYLE-BASELINE","FMT-EK-005","P0","formatting_defaults","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-DEFAULT-STYLE-BASELINE-fresh.xlsx","scenarios/FMTP1-DEFAULT-STYLE-BASELINE.json","planned","Capture default font/size/style ids in fresh workbook."
"FMTP1-DEFAULT-TEMPLATE-VS-BLANK","FMT-EK-006","P1","formatting_defaults","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-DEFAULT-TEMPLATE-VS-BLANK-fresh.xlsx","scenarios/FMTP1-DEFAULT-TEMPLATE-VS-BLANK.json","planned","Compare defaults under blank and template-driven creation paths."
"FMTP1-SHEETFORMATPR-BASE","FMT-EK-007","P1","formatting_defaults","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-SHEETFORMATPR-BASE-fresh.xlsx","scenarios/FMTP1-SHEETFORMATPR-BASE.json","planned","sheetFormatPr/baseColWidth/defaultRowHeight normalization and runtime impact."
"FMTP1-LOCALE-SEPARATORS","FMT-EK-008","P0","formatting_locale","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-LOCALE-SEPARATORS-fresh.xlsx","scenarios/FMTP1-LOCALE-SEPARATORS.json","planned","Use-system-separators and decimal/list variants with same workbook."
"FMTP1-LOCALE-PARSE-RENDER-SPLIT","FMT-EK-009","P0","formatting_locale","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-LOCALE-PARSE-RENDER-SPLIT-fresh.xlsx","scenarios/FMTP1-LOCALE-PARSE-RENDER-SPLIT.json","planned","Differentiate render-only vs parse/coercion locale effects."
"FMTP1-TEXT-AMBIENT-FORMAT","FMT-EK-010","P0","formatting_visibility","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-TEXT-AMBIENT-FORMAT-fresh.xlsx","scenarios/FMTP1-TEXT-AMBIENT-FORMAT.json","planned","Test whether TEXT observes ambient cell formatting."
"FMTP1-CELL-INFO-FORMAT-META","FMT-EK-011","P1","formatting_visibility","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-CELL-INFO-FORMAT-META-fresh.xlsx","scenarios/FMTP1-CELL-INFO-FORMAT-META.json","planned","CELL/INFO formatting metadata observability matrix."
"FMTP1-CF-VISIBLE-TO-FORMULA","FMT-EK-012","P0","formatting_visibility","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-CF-VISIBLE-TO-FORMULA-fresh.xlsx","scenarios/FMTP1-CF-VISIBLE-TO-FORMULA.json","planned","Probe whether formula outputs can observe CF-effective style."
"FMTP1-GETCELL-COMPAT","FMT-EK-013","P1","formatting_visibility","research/runs/20260305-235500-excel-formatting-hierarchy-empirical-pack-01/fixtures/FMTP1-GETCELL-COMPAT-fresh.xlsx","scenarios/FMTP1-GETCELL-COMPAT.json","planned","Legacy GET.CELL/XLM compatibility probe for formatting visibility."
