"suggestion_id","source_file","suggestion_summary","target_doc_candidate","target_section_candidate","priority","status"
"VF2-001","..\\DnaVisiCalc\\docs\\SPEC_v0.md","Make Foundation README explicitly anchor Round 0 functional scope to authoritative DnaVisiCalc docs","README.md","top-level orientation","high","reviewed"
"VF2-002","..\\DnaVisiCalc\\docs\\SPEC_v0.md","Record Round 0 functional-scope authority in Charter system-family section","CHARTER.md","3.1","medium","reviewed"
"VF2-003","..\\DnaVisiCalc\\docs\\ENGINE_REQUIREMENTS.md","Align Pathfinder UDF boundary wording with externally-driven execution model","ARCHITECTURE_AND_REQUIREMENTS.md","3.6","high","reviewed"
"VF2-004","..\\DnaVisiCalc\\docs\\SPEC_v0.md","Replace abstract Pathfinder scope bullets with explicit authority mapping to SPEC/REQ/API docs","ARCHITECTURE_AND_REQUIREMENTS.md","6","high","reviewed"
"VF2-005","..\\DnaVisiCalc\\docs\\ENGINE_REQUIREMENTS.md","Expand Round 0 normative contract summary to include stabilized v0 functional surface","ARCHITECTURE_AND_REQUIREMENTS.md","6.1","high","reviewed"
"VF2-006","..\\DnaVisiCalc\\docs\\SPEC_v0.md;..\\DnaVisiCalc\\docs\\GAP_ANALYSIS.md","Refresh Round 0 non-goals to include multi-sheet/VBA and retained functional-gap boundaries","ARCHITECTURE_AND_REQUIREMENTS.md","6.2","high","reviewed"
"VF2-007","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","Update dated Track A/Track B status wording now that functional scope is stabilized","ARCHITECTURE_AND_REQUIREMENTS.md","6.3","medium","reviewed"
"VF2-008","..\\DnaVisiCalc\\docs\\GAP_ANALYSIS.md","Retain open functional expansion items as explicit deferred backlog section","ARCHITECTURE_AND_REQUIREMENTS.md","6.4","medium","reviewed"
"VF2-009","..\\DnaVisiCalc\\docs\\FOUNDATION_REQUIREMENTS_MAPPING.md","Add operations rule for Round 0 functional-scope authority handoff","OPERATIONS.md","7.1","high","reviewed"
"VF2-010","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","Add legacy-guidance hand-off rule so superseded upstream guides can be archived safely","OPERATIONS.md","8.8","medium","reviewed"
"VF2-011","..\\DnaVisiCalc\\docs\\ENGINE_REQUIREMENTS.md","Update brainstorm notes for stabilized v0 scope and three-class volatility wording","notes/BRAINSTORM_NOTES.md","intro + section G/N","low","reviewed"
"VF2-012","..\\DnaVisiCalc\\docs\\SPEC_v0.md","Refresh research-notes synthesis status/questions to reflect stabilized v0 functional contract","notes/RESEARCH_NOTES.md","1 and 7","low","reviewed"
"VF2-013","..\\DnaVisiCalc\\docs\\GAP_ANALYSIS.md;..\\DnaVisiCalc\\docs\\FOUNDATION_REQUIREMENTS_MAPPING.md;..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md","Create retained notes artifact for superseded pathfinder guidance and deferred expansion backlog","notes/VISICALC_V0_SCOPE_ALIGNMENT_NOTES.md","full doc","high","reviewed"
"VF2-014","synthesis/runs/20260226-224457-visicalc-foundation-pass-01/outputs/synthesis_report.md","Ensure README points to new retained v0 scope-alignment notes artifact","README.md","top-level orientation","low","reviewed"
