"queue_id","function_name","source_artifact","scenario_id","case_id","result_status","priority","notes"
"UNQW1-0001","__non_functional__","outputs\cf_wave1\ECS-EB-033_cf_table_spill_interaction_probe_wave1.csv","SCN-EB033-CF-TABLE-SPILL","CFW1-021","mismatch","P0","Spill target C3 should receive yellow conditional format for C3>=2."
"UNQW1-0002","__non_functional__","outputs\cf_wave1\ECS-EB-033_cf_table_spill_interaction_probe_wave1.csv","SCN-EB033-CF-TABLE-SPILL","CFW1-022","mismatch","P0","Spill target C4 should receive yellow conditional format for C4>=2."
"UNQW1-0003","__non_functional__","outputs\coercion_wave1\ECS-EB-024_operator_coercion_truth_table_wave1.csv","SCN-EB024-OP-CORE","CW1-007","probe","P1","comparison coercion probe"
"UNQW1-0004","__non_functional__","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","SCN-EB025-FUNCTION-CORE","CW1-019","probe","P1","VALUETOTEXT rendering probe"
"UNQW1-0005","__non_functional__","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","SCN-EB025-FUNCTION-CORE","CW1-020","probe","P1","VALUETOTEXT error rendering probe"
"UNQW1-0006","__non_functional__","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","SCN-EB025-AGG-COERCION","CW1-022","mismatch","P0","SUM range text handling"
"UNQW1-0007","__non_functional__","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","SCN-EB025-AGG-COERCION","CW1-024","mismatch","P0","AVERAGE range text handling"
"UNQW1-0008","__non_functional__","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","SCN-EB025-AGG-COERCION","CW1-025","mismatch","P0","COUNT range handling"
"UNQW1-0009","__non_functional__","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","SCN-EB025-AGG-COERCION","CW1-028","probe","P1","IF logical coercion probe non-empty text"
"UNQW1-0010","__non_functional__","outputs\coercion_wave1\ECS-EB-025_function_family_coercion_probe_wave1.csv","SCN-EB025-AGG-COERCION","CW1-029","probe","P1","IF logical coercion probe empty text"
"UNQW1-0011","__non_functional__","outputs\coercion_wave1\ECS-EB-026_compatibility_coercion_probe_wave1.csv","SCN-EB026-NESTED-PRECEDENCE","CW1-036","probe","P1","unary minus with exponent precedence probe"
"UNQW1-0012","__non_functional__","outputs\coercion_wave1\ECS-EB-026_compatibility_coercion_probe_wave1.csv","SCN-EB026-NESTED-PRECEDENCE","CW1-038","probe","P1","compatibility syntax ambiguity probe current build only"
"UNQW1-0013","__non_functional__","outputs\coercion_wave1\ECS-EB-027_coercion_confidence_scores_wave1.csv","SCN-EB024-OP-CORE","CW1-007","probe","P1","comparison coercion probe"
"UNQW1-0014","__non_functional__","outputs\coercion_wave1\ECS-EB-027_coercion_confidence_scores_wave1.csv","SCN-EB025-FUNCTION-CORE","CW1-019","probe","P1","VALUETOTEXT rendering probe"
"UNQW1-0015","__non_functional__","outputs\coercion_wave1\ECS-EB-027_coercion_confidence_scores_wave1.csv","SCN-EB025-FUNCTION-CORE","CW1-020","probe","P1","VALUETOTEXT error rendering probe"
"UNQW1-0016","__non_functional__","outputs\coercion_wave1\ECS-EB-027_coercion_confidence_scores_wave1.csv","SCN-EB025-AGG-COERCION","CW1-022","mismatch","P0","SUM range text handling"
"UNQW1-0017","__non_functional__","outputs\coercion_wave1\ECS-EB-027_coercion_confidence_scores_wave1.csv","SCN-EB025-AGG-COERCION","CW1-024","mismatch","P0","AVERAGE range text handling"
"UNQW1-0018","__non_functional__","outputs\coercion_wave1\ECS-EB-027_coercion_confidence_scores_wave1.csv","SCN-EB025-AGG-COERCION","CW1-025","mismatch","P0","COUNT range handling"
"UNQW1-0019","__non_functional__","outputs\coercion_wave1\ECS-EB-027_coercion_confidence_scores_wave1.csv","SCN-EB025-AGG-COERCION","CW1-028","probe","P1","IF logical coercion probe non-empty text"
"UNQW1-0020","__non_functional__","outputs\coercion_wave1\ECS-EB-027_coercion_confidence_scores_wave1.csv","SCN-EB025-AGG-COERCION","CW1-029","probe","P1","IF logical coercion probe empty text"
"UNQW1-0021","__non_functional__","outputs\coercion_wave1\ECS-EB-027_coercion_confidence_scores_wave1.csv","SCN-EB026-NESTED-PRECEDENCE","CW1-036","probe","P1","unary minus with exponent precedence probe"
"UNQW1-0022","__non_functional__","outputs\coercion_wave1\ECS-EB-027_coercion_confidence_scores_wave1.csv","SCN-EB026-NESTED-PRECEDENCE","CW1-038","probe","P1","compatibility syntax ambiguity probe current build only"
"UNQW1-0023","__non_functional__","outputs\crosscut_wave1\ECS-EB-044_reopen_determinism_probe.csv","SCN-EB044-REOPEN-DYNARRAY","RPDW1-005","mismatch","P0","SEQUENCE spill tail should be stable across reopen."
"UNQW1-0024","__non_functional__","outputs\crosscut_wave1\ECS-EB-044_reopen_determinism_probe.csv","SCN-EB044-REOPEN-DYNARRAY","RPDW1-006","mismatch","P0","SEQUENCE spill tail baseline value."
"UNQW1-0025","__non_functional__","outputs\crosscut_wave1\ECS-EB-044_reopen_determinism_probe.csv","SCN-EB021-EXTERNAL-REPLAY","T45W1-032","probe","P1","WEBSERVICE external dependency probe across replay cycle."
"UNQW1-0026","__non_functional__","outputs\reopen_wave1\ECS-EB-044_reopen_determinism_probe_wave1.csv","SCN-EB044-REOPEN-DYNARRAY","RPDW1-005","mismatch","P0","SEQUENCE spill tail should be stable across reopen."
"UNQW1-0027","__non_functional__","outputs\reopen_wave1\ECS-EB-044_reopen_determinism_probe_wave1.csv","SCN-EB044-REOPEN-DYNARRAY","RPDW1-006","mismatch","P0","SEQUENCE spill tail baseline value."
"UNQW1-0028","__non_functional__","outputs\table_wave1\ECS-EB-034_table_spill_interaction_matrix_wave1.csv","SCN-EB034-STRUCTREF-SPILL","TBW1-002","mismatch","P0","SEQUENCE spill based on ROWS(TblMain[Val]) should extend with table growth."
