source_id,title,author_or_org,type,url,publish_date,accessed_utc,credibility_note,topic_id,tags
R3-S001,asupersync repository,Jeffrey Emanuel,repo,https://github.com/Dicklesworthstone/asupersync,2026-02-22,2026-02-22T06:58:36Z,Primary source repository,R-TOPIC-003,asupersync;primary;history
R3-S002,asupersync crate docs,docs.rs,docs,https://docs.rs/crate/asupersync/latest,2026-02-22,2026-02-22T06:58:36Z,Primary published crate metadata,R-TOPIC-003,docsrs;release;api
R3-S003,Cargo workspace and features,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/Cargo.toml,2026-02-22,2026-02-22T06:58:36Z,Primary build and feature configuration,R-TOPIC-003,toolchain;features;workspace
R3-S004,Project README,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/README.md,2026-02-22,2026-02-22T06:58:36Z,Primary architecture and algorithm narrative,R-TOPIC-003,architecture;math;runtime
R3-S005,Design bible v4,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/asupersync_plan_v4.md,2026-02-04,2026-02-22T06:58:36Z,Primary normative design source,R-TOPIC-003,semantics;invariants;design
R3-S006,Operational semantics v4,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/asupersync_v4_formal_semantics.md,2026-02-04,2026-02-22T06:58:36Z,Primary small-step semantics source,R-TOPIC-003,formal;small-step;proof
R3-S007,Formal README,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/formal/README.md,2026-02-22,2026-02-22T06:58:36Z,Mechanization entrypoint and artifact index,R-TOPIC-003,formal;lean;tla
R3-S008,Lean mechanization file,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/formal/lean/Asupersync.lean,2026-02-16,2026-02-22T06:58:36Z,Primary theorem and model implementation,R-TOPIC-003,lean;theorems;mechanization
R3-S009,TLA model,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/formal/tla/Asupersync.tla,2026-02-08,2026-02-22T06:58:36Z,Primary bounded model-check specification,R-TOPIC-003,tla;model-checking;invariants
R3-S010,Proof baseline report,asupersync project,artifact,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/formal/lean/coverage/baseline_report_v1.json,2026-02-20,2026-02-22T06:58:36Z,Machine-readable proof maturity snapshot,R-TOPIC-003,coverage;baseline;proof
R3-S011,Theorem surface inventory,asupersync project,artifact,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/formal/lean/coverage/theorem_surface_inventory.json,2026-02-20,2026-02-22T06:58:36Z,Machine-readable theorem count and names,R-TOPIC-003,coverage;theorems;inventory
R3-S012,Step constructor coverage,asupersync project,artifact,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/formal/lean/coverage/step_constructor_coverage.json,2026-02-20,2026-02-22T06:58:36Z,Machine-readable constructor-level proof mapping,R-TOPIC-003,coverage;constructors;proof
R3-S013,Invariant status inventory,asupersync project,artifact,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/formal/lean/coverage/invariant_status_inventory.json,2026-02-20,2026-02-22T06:58:36Z,Machine-readable invariant proof status,R-TOPIC-003,invariants;coverage;status
R3-S014,Testing guide,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/TESTING.md,2026-02-19,2026-02-22T06:58:36Z,Primary testing and artifact contract source,R-TOPIC-003,testing;determinism;artifacts
R3-S015,Main CI workflow,asupersync project,workflow,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/.github/workflows/ci.yml,2026-02-22,2026-02-22T06:58:36Z,Primary gate orchestration source,R-TOPIC-003,ci;gates;automation
R3-S016,Methodology gates workflow,asupersync project,workflow,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/.github/workflows/methodology-gates.yml,2026-02-15,2026-02-22T06:58:36Z,Explicit performance and proof gate policy,R-TOPIC-003,methodology;performance;proof
R3-S017,Conformance crate README,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/conformance/README.md,2026-02-22,2026-02-22T06:58:36Z,Conformance scope and proof linkage summary,R-TOPIC-003,conformance;traceability
R3-S018,Proof check runner script,asupersync project,script,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/scripts/run_proof_checks.sh,2026-02-22,2026-02-22T06:58:36Z,Executable proof pipeline contract,R-TOPIC-003,proof;automation;manifest
R3-S019,TLA model check runner script,asupersync project,script,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/scripts/run_model_check.sh,2026-02-22,2026-02-22T06:58:36Z,Executable model checking pipeline contract,R-TOPIC-003,tla;automation;model-checking
R3-S020,Benchmarking guide,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/docs/benchmarking.md,2026-02-22,2026-02-22T06:58:36Z,Performance methodology and artifact policy,R-TOPIC-003,benchmarking;regression;discipline
R3-S021,Replay debugging guide,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/docs/replay-debugging.md,2026-02-22,2026-02-22T06:58:36Z,Deterministic replay and trace analysis details,R-TOPIC-003,replay;determinism;debugging
R3-S022,Agent doctrine and execution policy,asupersync project,source_file,https://github.com/Dicklesworthstone/asupersync/blob/ac7c77a5ab26351f24bd72f0da2404bef95781d3/AGENTS.md,2026-02-22,2026-02-22T06:58:36Z,Meta-stack governance and tooling policy,R-TOPIC-003,doctrine;operations;agents
R3-S023,Git history timeline extraction,local analysis,local_analysis,local_git_history_analysis@ac7c77a5ab26351f24bd72f0da2404bef95781d3,2026-02-22,2026-02-22T06:58:36Z,Primary development history metrics extracted from full git log,R-TOPIC-003,history;timeline;velocity
