"column_name","type","required","description"
"function_name","string","true","Worksheet function identifier"
"scenario_class","string","true","Probe scenario class key"
"argument_signature","string","false","Argument-shape variant descriptor"
"expected_behavior_source","string","false","Source-anchored expectation summary"
"observed_behavior","string","false","Observed behavior summary from empirical probe"
"result_status","string","true","matches_expected|mismatch|probe|run_failed"
"platform","string","true","windows_desktop|mac_desktop|web|mobile"
"excel_build","string","false","Excel build observed"
"confidence","string","true","high|medium|low"
"evidence_ref","string","true","Evidence bundle or artifact reference"
"source_ref","string","false","Primary source ID/URL reference"
"unresolved_flag","string","true","true|false unresolved semantic marker"
