"source_id","priority_tier","authority","domain","title","url","coverage_tags","version_signal","last_checked_utc","status","notes"
"ECS-001","A","official_ms_support","functions","Excel functions (alphabetical)","https://support.microsoft.com/en-us/office/excel-functions-alphabetical-b3944572-255d-4efb-bb96-c6d90033e188","function_inventory|version_markers","current","2026-02-28T11:15:00Z","screened","Primary canonical function inventory anchor"
"ECS-002","A","official_ms_support","functions","Excel functions (by category)","https://support.microsoft.com/en-us/office/excel-functions-by-category-5f91f4e9-7b42-46d2-9bd1-63f26a86c0eb","function_inventory|categories|version_markers","current","2026-02-28T11:15:00Z","screened","Primary category anchor with introduction markers"
"ECS-003","A","official_ms_support","formula","Calculation operators and precedence in Excel","https://support.microsoft.com/en-us/office/calculation-operators-and-precedence-in-excel-48be406d-4975-4d31-b2b8-7af9e0e2878a","operator_semantics|precedence","current","2026-02-28T11:15:00Z","screened","Includes reference operators and precedence table"
"ECS-004","A","official_ms_support","formula","Implicit intersection operator at","https://support.microsoft.com/en-gb/office/implicit-intersection-operator-ce3be07b-0101-4450-a24e-c1c999be2b34","dynamic_arrays|implicit_intersection","current","2026-02-28T11:15:00Z","screened","Explains migration behavior and @ insertion"
"ECS-005","A","official_ms_support","formula","Spilled range operator","https://support.microsoft.com/en-us/office/spilled-range-operator-3dd5899f-bca2-4b9d-a172-3eae9ac22efd","dynamic_arrays|spill_operator","current","2026-02-28T11:15:00Z","screened","Defines hash spill-range operator"
"ECS-006","A","official_ms_support","formula","Dynamic array formulas and spilled array behavior","https://support.microsoft.com/en-us/office/dynamic-array-formulas-and-spilled-array-behavior-205c6b06-03ba-4151-89a1-87a7eb36e531","dynamic_arrays|spill_behavior","current","2026-02-28T11:15:00Z","screened","Core spill behavior guidance"
"ECS-007","A","official_ms_support","formula","Excel functions that return ranges or arrays","https://support.microsoft.com/en-us/office/excel-functions-that-return-ranges-or-arrays-7d1970e2-cbaa-4279-b59c-b9dd3900fc69","dynamic_arrays|legacy_transition","current","2026-02-28T11:15:00Z","screened","Important for at-operator migration"
"ECS-008","A","official_ms_learn_open_specs","formula","MS-XLSX Formulas","https://learn.microsoft.com/en-us/openspecs/office_standards/ms-xlsx/3d025add-118d-4413-9856-ab65712ec1b0","abnf_grammar|structured_refs","current","2026-02-28T11:15:00Z","screened","Formal grammar anchor"
"ECS-009","A","official_ms_learn_open_specs","formula","MS-XLSX Cell Formulas","https://learn.microsoft.com/en-us/openspecs/office_standards/ms-xlsx/bb813b21-5c61-41e8-b91c-3ebb4550666c","cell_formula_constraints","current","2026-02-28T11:15:00Z","screened","Formula record constraints"
"ECS-010","A","official_ms_support","names","Define and use names in formulas","https://support.microsoft.com/en-us/office/define-and-use-names-in-formulas-4d0f13ac-53b7-422e-afd2-abd7ff379c64","name_rules|scope","current","2026-02-28T11:15:00Z","screened","Primary names overview"
"ECS-011","A","official_ms_support","names","Names in formulas","https://support.microsoft.com/en-us/office/names-in-formulas-fc2935f9-115d-4bef-a370-3aa8bb4c91f1","name_syntax|precedence","current","2026-02-28T11:15:00Z","screened","Detailed scope and syntax notes"
